orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,cluster
0,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-725.85767,-2059.3782,-1811.1705,10301.366,-4097.0923,2387.4695,9782.54,-3338.1975,1765.0914,13587.585,2
1,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-698.2924,-1981.174,-1742.3911,9910.18,-3941.5063,2296.806,9411.052,-3211.432,1698.0647,13071.604,2
2,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-671.1143,-1904.0629,-1674.5743,9524.462,-3788.096,2207.4111,9044.758,-3086.438,1631.9747,12562.836,2
3,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-644.4975,-1828.548,-1608.1605,9146.7295,-3637.8616,2119.866,8686.049,-2964.0327,1567.2532,12064.602,2
4,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-618.4931,-1754.7708,-1543.2742,8777.687,-3491.0845,2034.3352,8335.591,-2844.4426,1504.0205,11577.83,2
5,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-593.1921,-1682.9891,-1480.1431,8418.628,-3348.2769,1951.1179,7994.6143,-2728.088,1442.4987,11104.227,2
6,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-568.6894,-1613.4725,-1419.0043,8070.8984,-3209.9756,1870.527,7664.397,-2615.4048,1382.9182,10645.566,2
7,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-545.09894,-1546.541,-1360.1395,7736.11,-3076.817,1792.9335,7346.4604,-2506.9128,1325.5558,10203.97,2
8,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-522.52594,-1482.4972,-1303.8151,7415.76,-2949.4036,1718.6873,7042.2407,-2403.1018,1270.6667,9781.422,2
9,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-498.0335,-1413.008,-1242.7019,7068.1562,-2811.1575,1638.1278,6712.151,-2290.462,1211.1058,9322.936,2
10,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-467.14874,-1325.3855,-1165.6389,6629.8594,-2636.8347,1536.5461,6295.927,-2148.4297,1136.0073,8744.815,2
11,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-433.95636,-1231.215,-1082.8171,6158.807,-2449.4849,1427.373,5848.598,-1995.7834,1055.2961,8123.493,0
12,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-400.7707,-1137.0631,-1000.01215,5687.85,-2262.173,1318.2223,5401.359,-1843.168,974.6012,7502.294,0
13,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-367.59314,-1042.9347,-917.22784,5217.012,-2074.9082,1209.0986,4954.231,-1690.5903,893.92694,6881.2515,0
14,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-334.42664,-948.8374,-834.4706,4746.328,-1887.7036,1100.0107,4507.25,-1538.0631,813.2789,6260.4106,0
15,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-301.27545,-854.78345,-751.7517,4275.8613,-1700.5864,990.9732,4060.4746,-1385.6058,732.668,5639.8584,0
16,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-268.13748,-760.7649,-669.0644,3805.5796,-1513.539,881.97754,3613.8699,-1233.2074,652.0901,5019.546,0
17,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-235.0358,-666.84985,-586.46826,3335.81,-1326.6981,773.1015,3167.7556,-1080.9762,571.59894,4399.9116,0
18,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-201.9783,-573.06085,-503.98282,2866.6697,-1140.107,664.3712,2722.2388,-928.94855,491.21564,3781.107,0
19,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-169.00626,-479.5154,-421.7129,2398.7363,-954.0032,555.9236,2277.8804,-777.31573,411.03775,3163.9043,3
20,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-136.14247,-386.27795,-339.71143,1932.3496,-768.50806,447.8317,1834.981,-626.1809,331.12604,2548.7344,3
21,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-103.51414,-293.7052,-258.29706,1469.3015,-584.34094,340.51352,1395.2491,-476.12793,251.78731,1937.9657,3
22,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-71.45581,-202.75352,-178.30435,1014.3416,-403.39258,235.07048,963.2042,-328.6966,173.83188,1337.869,3
23,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-41.281425,-117.14275,-103.01422,586.12494,-233.07675,135.82433,556.54663,-189.9301,100.46286,773.04156,3
24,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-14.397988,-40.87189,-35.933884,204.60635,-81.33712,47.401863,194.24252,-66.29742,35.0921,269.81415,3
25,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-18.145504,-51.50485,-45.285004,257.79373,-102.49094,59.72862,244.75104,-83.5328,44.20533,339.96838,3
26,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-51.2894,-145.53992,-127.9862,728.1634,-289.56827,168.74298,691.4321,-235.95757,124.79952,960.3916,3
27,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-84.50857,-239.78668,-210.87341,1199.5902,-477.06882,278.00333,1139.1202,-388.72598,205.57356,1582.2113,3
28,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-101.77325,-288.76807,-253.95184,1444.6017,-574.5156,334.788,1371.7915,-468.12268,247.55466,1905.3837,3
29,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-117.33858,-332.92813,-292.79016,1665.4967,-662.3706,385.98328,1581.5607,-539.70435,285.4034,2196.746,3
30,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-139.23843,-395.06006,-347.43427,1976.2887,-785.9801,458.0135,1876.6997,-640.4175,338.65552,2606.6843,3
31,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-164.96948,-468.0616,-411.63803,2341.4514,-931.2144,542.64484,2223.4717,-758.74976,401.22363,3088.3381,3
32,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-193.02377,-547.6566,-481.64093,2739.5786,-1089.5668,634.91925,2601.5613,-887.7678,469.43747,3613.4822,0
33,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-215.79828,-612.2715,-538.46826,3062.788,-1218.1162,709.8275,2908.4946,-992.50543,524.8167,4039.8005,0
34,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-237.4215,-673.62024,-592.423,3369.66,-1340.1677,780.9494,3199.913,-1091.9486,577.3969,4444.57,0
35,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-261.4171,-741.6989,-652.29675,3710.1968,-1475.6082,859.87354,3523.3005,-1202.3008,635.7453,4893.742,0
36,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-287.1643,-814.7471,-716.54144,4075.5925,-1620.935,944.55884,3870.2937,-1320.7087,698.35315,5375.704,0
37,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-314.30048,-891.73566,-784.25146,4460.698,-1774.1018,1033.8124,4236.0044,-1445.5039,764.33826,5883.6626,0
38,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-342.45914,-971.6256,-854.5129,4860.3174,-1933.0404,1126.4294,4615.498,-1575.0018,832.8099,6410.765,0
39,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-370.7429,-1051.8707,-925.08655,5261.712,-2092.686,1219.4581,4996.678,-1705.0752,901.5859,6940.2095,0
40,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-399.50674,-1133.4775,-996.8583,5669.9185,-2255.0396,1314.0656,5384.3267,-1837.3562,971.5292,7478.6387,0
41,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-428.87158,-1216.7893,-1070.1293,6086.652,-2420.7856,1410.6494,5780.0723,-1972.4004,1042.9337,8028.3164,0
42,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-458.74457,-1301.5419,-1144.6681,6510.595,-2589.399,1508.9039,6182.666,-2109.781,1115.5731,8587.503,2
43,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-489.03516,-1387.4796,-1220.2489,6940.466,-2760.3691,1608.5322,6590.8867,-2249.0818,1189.2283,9154.508,2
44,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-519.64746,-1474.3301,-1296.6327,7374.9033,-2933.155,1709.219,7003.4434,-2389.863,1263.6658,9727.533,2
45,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-550.5363,-1561.9647,-1373.7057,7813.261,-3107.5017,1810.8146,7419.725,-2531.9143,1338.7755,10305.733,2
46,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-581.7026,-1650.3894,-1451.4741,8255.556,-3283.4207,1913.3253,7839.7583,-2675.2449,1414.5566,10889.136,2
47,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-613.07166,-1739.3892,-1529.7476,8700.74,-3460.4834,2016.5032,8262.524,-2819.5095,1490.8353,11476.34,2
48,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-644.62744,-1828.9182,-1608.4861,9148.572,-3638.598,2120.2944,8687.804,-2964.6316,1567.5684,12067.038,2
49,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-676.343,-1918.899,-1687.6223,9598.667,-3817.612,2224.6099,9115.232,-3110.4863,1644.6885,12660.718,2
50,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-708.18896,-2009.2495,-1767.0837,10050.61,-3997.3623,2329.3545,9544.416,-3256.9402,1722.1256,13256.835,2
51,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-740.1294,-2099.8677,-1846.7817,10503.895,-4177.644,2434.409,9974.869,-3403.8281,1799.792,13854.724,2
52,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-772.17883,-2190.7969,-1926.7513,10958.73,-4358.544,2539.8235,10406.8,-3551.2202,1877.7253,14454.658,2
53,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-804.3254,-2282.0007,-2006.9636,11414.942,-4539.991,2645.5566,10840.035,-3699.057,1955.8937,15056.407,1
54,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-836.5566,-2373.4446,-2087.3867,11872.356,-4721.9165,2751.5688,11274.414,-3847.2837,2034.2684,15659.742,1
55,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-868.8631,-2465.1025,-2167.9983,12330.841,-4904.2686,2857.8289,11709.809,-3995.8572,2112.8264,16264.49,1
56,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-901.2375,-2556.9521,-2248.7778,12790.281,-5086.999,2964.3098,12146.11,-4144.74,2191.5476,16870.498,1
57,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-933.6717,-2648.9707,-2329.7075,13250.57,-5270.068,3070.9885,12583.22,-4293.8994,2270.4155,17477.625,1
58,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-966.15967,-2741.1433,-2410.772,13711.631,-5453.443,3177.846,13021.058,-4443.3076,2349.415,18085.77,1
59,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-998.71497,-2833.5085,-2492.0056,14173.633,-5637.2,3284.924,13459.806,-4593.0244,2428.573,18695.166,1
60,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-1031.2998,-2925.957,-2573.3113,14636.07,-5821.124,3392.1,13898.955,-4742.879,2507.8076,19305.125,1
61,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-1063.9244,-3018.518,-2654.717,15099.07,-6005.2725,3499.4072,14338.641,-4892.9165,2587.1394,19915.832,1
62,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-1096.5842,-3111.179,-2736.2112,15562.571,-6189.6187,3606.8298,14778.8,-5043.116,2666.5564,20527.195,1
63,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-1126.1714,-3195.12,-2810.0354,15982.452,-6356.6157,3704.143,15177.534,-5179.18,2738.5005,21081.023,1
64,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-1154.397,-3275.1995,-2880.4634,16383.018,-6515.931,3796.9797,15557.927,-5308.985,2807.134,21609.375,1
65,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_44,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,-1182.8828,-3356.0166,-2951.5413,16787.277,-6676.7144,3890.6716,15941.824,-5439.986,2876.4014,22142.596,1
