followers,revenue,yearsjoined,rating,goodreview,mediumreview,badreview
0.0601347699,0.008283297655,1.806134489,0.4535828601,0.6311588484,1.618766785,1.080556886
-0.07120871268,-0.04744888398,-1.81474617,0.03789719818,-0.4976620954,1.196370851,0.308261747
-0.00905224708,0.008283297655,0.5991742694,0.4245163204,0.6417903555,-0.1721470986,1.292087172
-0.0464419976,0.008283297655,0.5991742694,-0.06667769952,-0.09694340079,0.9755582056,1.761924492
-0.07280656527,-0.0536513861,-0.6077859505,0.1447300772,0.3445599119,-0.2699721941,0.5099503773
0.1400273992,0.008283297655,-0.6077859505,0.6591251767,0.8185958887,-0.2350488309,-0.188657225
0.0601347699,-0.04170688495,0.5991742694,0.5286015441,0.665667666,1.916680834,0.5354996153
0.1400273992,-0.05222809379,-1.21126606,0.5959988491,-1.174894379,-0.7247974588,-0.7072697442
0.1400273992,0.008283297655,0.5991742694,0.5331953967,0.6825133192,1.631421908,0.7495508346
0.1320381363,-0.05140464182,-0.004305840521,0.6427589563,0.7757023195,-0.4639355972,-0.1611859102
-0.07504355889,-0.05493183904,-0.6077859505,-0.7821451119,-0.6220677953,-0.7247974588,-0.7072697442
-0.07240710212,-0.05406502511,-0.6077859505,-0.5282071901,0.2407975837,-0.7247974588,-0.7072697442
-0.07536312941,-0.05493183904,-1.21126606,-1.297961156,-0.8580784041,-0.7247974588,-0.7072697442
-0.04851920596,-0.04518220171,1.202654379,0.5891715766,0.7460772808,0.581152281,0.1003024303
-0.04156854721,-0.05259326945,1.202654379,0.6609492138,0.7556589894,0.5561300313,0.04634249878
0.1400273992,0.003376770353,-0.6077859505,0.6092386516,0.7239740814,0.7696454936,0.5972657522
-0.01025063652,-0.05388264984,-0.6077859505,0.8445136008,0.9368610749,-0.6551532043,-0.5786266334
-0.0728864579,-0.05409860937,1.202654379,0.3585998355,0.3785104079,0.2452962336,0.4162901108
0.002771862058,-0.002491542048,1.202654379,0.2832318406,0.4102214462,1.916680834,1.761924492
0.02817771818,-0.02402839227,1.806134489,0.2359188696,0.3716529675,1.315440495,1.761924492
0.1400273992,0.008283297655,1.806134489,0.711148954,0.8793480719,0.2772514379,-0.09681695288
-0.06801300751,-0.05253766412,0.5991742694,0.5676042787,0.6866112243,0.5747348954,0.3800852965
0.08410255869,-0.04758636688,-0.004305840521,0.4383850418,0.5277555563,1.916680834,1.534022292
-0.01831979208,-0.04833572093,0.5991742694,0.2609973306,0.4014287997,1.916680834,1.613603137
0.1400273992,-0.03186379072,1.806134489,0.6956902932,0.867893462,0.1367027166,-0.3348578325
0.07611329576,-0.006517964564,1.202654379,0.5286015441,0.616476723,1.916680834,0.9164632274
0.1400273992,0.008283297655,-0.6077859505,0.7691233833,0.8612540933,-0.2220832662,-0.1036157584
0.04415624404,-0.04848060086,-0.6077859505,0.6591251767,0.7773178253,0.2273955833,-0.09763429518
-0.04612242708,-0.05318656298,-0.004305840521,0.7517209386,0.9074432626,-0.5457080843,-0.5441821892
-0.05251383742,-0.05463425701,0.5991742694,0.5440179149,0.5447982992,0.8732506384,-0.1033292425
-0.028466156,-0.03242639079,0.5991742694,0.5251836318,0.5537934644,1.009617955,0.9017179342
-0.0720875316,-0.05068492354,-0.6077859505,0.711177441,0.7931995228,-0.1170283116,-0.3386117523
-0.05554975734,0.008283297655,1.202654379,0.4958266265,0.5716306134,1.776901403,1.048160913
0.05214550697,0.008283297655,0.5991742694,0.676805581,0.8204881393,0.3644262326,-0.2037035846
-0.0668945107,0.008283297655,-0.6077859505,0.4599402793,0.5663909819,-0.04968664379,1.494973992
-0.07568269992,-0.05493183904,-0.004305840521,0.4732515778,0.4382783543,-0.7247974588,-0.7072697442
-0.06953096747,-0.05286236862,-0.004305840521,0.5031246701,0.6026650361,-0.3118762851,0.4703295903
-0.03589617053,-0.05168394381,-0.004305840521,0.6609492138,0.8279172661,-0.2367354493,-0.249693234
-0.0140055901,0.008283297655,0.5991742694,0.6884912599,0.7909295042,0.3499963036,0.2830559654
-0.01608279846,-0.05229866324,0.5991742694,0.7615599148,0.92075869,-0.3822353043,-0.6509802277
-0.07408484734,-0.05458256701,0.5991742694,0.4411775287,0.3660474134,-0.7247974588,0.09778247702
-0.07568269992,-0.05493183904,-0.004305840521,0.1316180874,0.3660474134,-0.4637199132,-0.2765126032
-0.06641515492,-0.04350809027,-1.21126606,0.7966257511,0.9134433992,-0.631137814,-0.6913438186
-0.05211437428,0.008283297655,-0.6077859505,0.750423214,0.9018159346,-0.6105861805,-0.4284973872
0.01219919232,-0.05269062128,1.202654379,0.731577515,0.8915850207,-0.432637506,-0.5820556942
-0.02263399406,-0.01533156188,0.5991742694,0.3990535604,0.5316487596,0.3941237332,1.368008959
-0.07568269992,0.008283297655,0.5991742694,0.5207049878,0.6759790182,1.301562618,0.8072013504
-0.03246078747,-0.05135830405,0.5991742694,0.3306909259,0.4896662817,1.916680834,0.9624039006
-0.04252725876,-0.03234169469,-0.6077859505,0.6388574106,0.689785561,0.6916918471,-0.185971468
