csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
1007,1021,,7,https://tiki.vn/cua-hang/phu-kien-so-pro?source_screen=product_detail&source_engine=organic,Phụ Kiện Số Pro,2019,81,4.1,678,48,1210000,76.0,4.0,1.0,2.0,13.0,56.0
1008,1022,,9,https://tiki.vn/cua-hang/sato-official-store?source_screen=product_detail&source_engine=organic,SATO OFFICIAL STORE,2017,116,3.8,81,295,3500000,9.0,1.0,0.0,3.0,2.0,3.0
1009,1023,,8,https://tiki.vn/cua-hang/lotus-rice?source_screen=product_detail&source_engine=organic,Lotus Rice,2018,9,4.8,3400,1800,8506000,1479.0,21.0,9.0,33.0,149.0,1267.0
1010,1024,,8,https://tiki.vn/cua-hang/golden-gift-viet-nam?source_screen=product_detail&source_engine=organic,Golden Gift Việt Nam,2018,184,4.9,21,16,0,21.0,0.0,0.0,0.0,2.0,19.0
1011,1025,,5,https://tiki.vn/cua-hang/cat-meo-kaka?source_screen=product_detail&source_engine=organic,CÁT MÈO KAKA,2021,3,4.7,25,10,0,20.0,1.0,0.0,0.0,1.0,18.0
1012,1026,,8,https://tiki.vn/cua-hang/ugreenonline?source_screen=product_detail&source_engine=organic,ugreenonline,2018,2000,4.7,3200,642,17470340,1619.0,43.0,12.0,30.0,206.0,1328.0
1013,1027,,7,https://tiki.vn/cua-hang/smart-home-store-vn?source_screen=product_detail&source_engine=organic,Smart Home Store Vn,2019,53,4.8,21,0,533500,12.0,0.0,0.0,1.0,2.0,9.0
1014,1028,,5,https://tiki.vn/cua-hang/xe-may-sang-thu?source_screen=product_detail&source_engine=organic,Xe Máy Sáng Thu,2021,35,5.0,26,155,36700000,2.0,0.0,0.0,0.0,0.0,2.0
1015,1029,,5,https://tiki.vn/cua-hang/vnracing-official-store?source_screen=product_detail&source_engine=organic,VNRACING Official Store,2021,1,0.0,0,1,0,,,,,,
1016,1030,,8,https://tiki.vn/cua-hang/dientuhuyenanh?source_screen=product_detail&source_engine=organic,Dientuhuyenanh,2018,34,4.4,929,249,15641250,354.0,15.0,14.0,18.0,78.0,229.0
