method,source_path,source_sha256,representation,random_seed,n_samples,n_features,n_clusters,distance_contract,silhouette_score,euclidean_silhouette_score,silhouette_sample_std,silhouette_negative_fraction,cluster_sizes,cluster_assignments,status,error_message
MvDEC,C:\Users\nguye\Downloads\mvdec_fpmax\mvdec_fpmax\output\mvdec_runs\tiki\mvdec_dekm_consistent_v1\ccfbcd08db49\seed_42\artifact.pkl,15e05041347bcd9a35b7937ea6ac12dca186478d802dfa32d62a677925ac0da8,h_fused,42,1799,5,5,native_numeric_gower_v1,0.39560879546521427,0.43028073570159936,0.18886798895178458,0.032795997776542525,"[688,106,370,183,452]","[0,4,2,2,2,0,0,1,0,0,4,4,4,0,0,2,4,0,2,2,0,0,2,2,0,0,0,0,0,0,2,4,0,0,2,4,2,0,0,0,0,0,4,4,0,2,0,2,0,1,0,3,4,2,2,0,0,0,2,2,0,2,2,0,0,0,4,4,2,0,0,0,0,4,2,2,0,4,4,2,4,0,4,2,0,2,2,0,4,2,0,4,2,0,4,2,1,0,0,0,4,1,4,2,0,1,0,0,4,2,4,4,4,4,0,0,0,2,0,0,0,4,4,4,0,2,0,3,0,0,2,0,0,0,0,0,0,2,0,2,4,0,3,2,2,2,2,4,0,0,4,0,0,2,2,0,4,2,2,2,2,3,0,4,2,2,4,4,0,0,2,0,2,0,4,0,0,4,1,0,0,2,2,2,1,4,2,4,0,4,2,0,2,2,0,2,2,2,0,0,0,4,0,0,3,0,4,3,4,2,0,0,2,2,0,2,4,4,0,0,0,0,2,2,2,2,2,0,0,0,2,0,2,0,4,4,4,0,2,4,4,0,2,0,2,0,0,2,4,1,1,0,4,2,2,0,0,0,2,2,0,4,2,0,4,0,0,0,0,4,4,2,2,4,3,2,0,0,0,0,0,0,4,2,2,2,0,0,0,3,0,0,0,0,0,0,0,2,0,2,2,0,0,2,4,4,0,4,0,4,1,2,0,0,0,2,0,2,0,0,0,0,3,0,0,2,4,2,4,0,0,3,0,0,2,4,0,2,4,4,4,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,4,0,0,4,0,0,2,2,0,2,4,0,0,0,0,0,2,4,0,4,0,4,0,2,0,4,2,0,4,2,2,0,4,0,0,0,1,0,0,2,0,4,4,3,0,0,4,0,0,0,0,3,0,4,4,0,0,4,2,1,2,2,4,2,0,1,4,2,0,2,0,0,0,0,4,4,1,1,0,0,2,0,0,4,0,2,1,0,3,4,0,2,0,0,3,0,3,4,4,1,4,0,2,0,2,0,2,4,2,0,4,0,0,0,0,0,4,2,4,3,0,2,0,2,2,2,0,0,4,2,1,4,2,0,2,2,2,2,2,4,2,1,0,3,0,0,0,4,0,0,2,2,4,4,0,4,0,0,0,0,4,2,0,0,2,0,0,4,4,2,2,0,0,0,4,2,0,2,4,0,4,0,2,2,2,4,1,2,0,4,0,4,2,2,0,4,4,2,2,2,1,2,4,2,2,0,4,4,4,0,2,2,0,2,0,2,3,0,0,1,0,0,4,2,0,1,0,3,0,0,2,0,4,4,0,0,0,0,0,2,0,2,2,4,2,0,0,2,0,2,0,0,4,2,2,0,0,1,2,0,2,3,0,4,0,0,2,0,2,2,0,0,4,3,2,4,0,4,0,4,4,0,2,1,0,4,0,4,4,0,2,2,0,0,2,0,0,4,2,4,2,2,0,0,1,0,2,0,2,4,0,0,2,2,3,0,4,2,0,4,4,1,2,1,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,2,3,2,0,0,0,4,0,3,2,2,0,2,0,1,0,4,2,0,4,0,3,2,4,2,0,0,2,0,0,3,0,0,0,4,0,0,0,1,1,0,0,0,0,3,2,0,4,0,2,2,3,4,3,3,4,0,4,3,0,0,3,2,4,1,0,3,4,3,0,4,4,4,4,0,4,4,0,2,4,2,0,0,0,3,0,0,3,0,0,2,4,4,4,4,0,3,0,4,2,2,2,0,2,0,4,1,0,4,0,2,2,2,2,4,3,2,1,4,2,3,4,0,4,0,2,2,0,0,0,0,2,4,0,3,4,0,2,0,3,4,0,2,0,2,0,4,0,0,0,4,0,4,0,0,0,3,0,4,4,0,1,4,4,0,4,2,0,0,0,3,2,0,4,2,0,0,4,4,0,4,2,4,2,4,1,3,0,2,4,3,0,4,0,4,4,2,0,4,0,2,3,4,1,3,4,4,3,2,4,1,4,4,0,0,4,0,4,0,0,0,4,1,4,4,0,2,1,2,0,3,2,4,0,0,0,4,0,1,2,4,0,4,1,0,4,1,0,2,4,0,4,0,4,0,4,4,1,4,4,0,4,2,0,4,0,2,0,4,0,0,1,1,0,4,1,0,0,2,4,3,3,3,4,3,1,3,2,0,0,4,4,4,4,3,0,0,4,4,0,4,4,2,1,0,4,3,4,4,0,4,3,0,1,0,0,4,0,0,1,3,2,4,3,3,2,4,0,0,0,0,4,2,4,4,3,3,0,0,0,2,0,2,4,4,3,3,3,3,4,4,4,0,4,4,3,3,1,1,4,2,3,0,3,4,2,4,3,4,4,4,1,2,0,2,2,0,4,3,4,4,0,3,3,4,1,2,4,2,4,4,1,0,3,0,0,4,4,3,3,0,4,3,3,4,3,3,0,2,0,0,4,0,0,2,0,3,4,0,4,0,1,4,4,0,2,0,0,4,0,0,1,2,0,3,1,2,0,0,0,0,3,2,0,4,2,4,4,0,3,4,4,1,2,4,0,4,4,3,3,3,4,3,1,4,4,3,0,0,4,4,4,0,2,4,2,2,4,3,3,0,2,3,1,2,0,4,4,4,4,0,0,3,0,2,0,2,2,0,0,2,3,1,4,1,0,3,3,2,0,0,0,0,0,0,0,3,2,4,4,0,3,3,0,0,2,0,1,3,0,0,4,0,4,3,4,2,4,3,0,4,3,4,1,4,2,3,4,3,0,4,1,3,3,3,0,4,4,4,4,3,4,2,3,0,3,3,4,0,1,4,3,0,2,0,4,1,1,1,3,0,3,4,0,0,0,1,4,0,4,0,4,0,4,3,2,2,3,2,4,2,2,0,2,4,0,0,2,0,2,3,0,0,0,4,2,0,0,4,0,1,0,3,3,0,0,2,0,0,4,2,0,0,0,2,4,4,4,1,0,4,4,2,3,4,4,4,0,2,4,0,0,0,2,0,1,4,3,0,2,0,0,0,0,4,3,0,1,2,3,2,0,0,0,2,0,0,4,0,0,4,3,3,4,1,0,2,0,0,3,2,1,4,0,2,2,0,0,3,0,2,3,3,0,0,2,4,0,0,2,4,4,4,4,0,2,4,2,3,1,0,4,0,4,4,2,2,4,0,0,4,2,2,4,0,0,0,2,2,3,2,2,0,0,0,2,0,0,2,2,4,2,0,0,2,4,4,2,2,4,0,4,1,0,3,4,4,2,4,4,4,0,2,4,2,4,2,4,0,1,3,4,4,3,0,1,0,3,3,2,1,0,0,0,0,0,3,0,3,4,3,0,4,4,1,3,3,1,2,0,0,4,0,4,2,2,2,2,3,0,0,0,4,0,4,0,0,2,4,0,0,0,0,4,3,3,4,2,4,0,3,3,0,0,1,0,4,3,3,0,4,0,3,2,2,2,0,4,3,4,4,0,0,4,0,3,2,0,0,3,4,0,3,0,3,1,0,2,0,2,4,4,1,4,0,2,4,4,3,4,1,1,4,2,2,0,4,3,3,2,0,4,0,3,3,0,2,1,4,1,0,4,2,3,4,0,1,0,2,2,4,4,4,1,4,0,0,2,4,0,0,2,2,1,0,4,0,4,4,0,4,2,2,0,3,4,4,3,0,0,0,2,4,0,4,0,4,2,4,0,4,2,3,4,4,1,0,3,4,0,2,4,0,2,0,2,3,0,4,3,4,2,0,0,4,0,0,0,4,0,0,0,2,4,0,3,4,4,4,0,0,1,0,0,2,4,0,2,3,1,4,0,3,0,3,0,4,0,1,0,2,0,0,0,4,3,4,4,0,0,4,3,4,0,3,2,4,4,0,4,3,4,0,0,0,0,2,1,0,0,0,0,3,4,1,2,0,0,0,2,0,0,2,4,4,4,0,4,4,1,0,4,4,4,0,4,4,2,2,4,4,4,0,3,1,0,3,1,4,1,0,4,4,3,0,4,0,3,4,4,3,3,4,4]",ok,
MvDEC,C:\Users\nguye\Downloads\mvdec_fpmax\mvdec_fpmax\output\mvdec_runs\tiki\mvdec_dekm_consistent_v1\ccfbcd08db49\seed_43\artifact.pkl,6eb0ab86a8bd7fc38255501ef6f86e565945b64824857b12b9d3efbfe5738659,h_fused,43,1799,5,5,native_numeric_gower_v1,0.42967518223110984,0.434530892005549,0.18704124551260382,0.02668148971650917,"[515,158,638,283,205]","[3,3,0,3,2,2,3,4,3,2,4,2,4,0,0,3,2,0,3,3,0,0,3,3,0,3,2,2,2,3,3,2,3,0,2,2,2,2,0,0,0,2,2,2,0,0,3,3,2,0,2,1,2,2,2,0,0,0,2,2,0,3,3,0,2,0,2,0,3,3,0,0,3,2,3,3,0,2,2,3,2,0,2,2,3,3,3,3,2,3,0,2,3,0,2,2,4,0,2,0,2,4,2,2,3,4,0,0,2,0,2,0,2,2,0,0,2,2,0,3,0,2,0,2,0,2,0,1,0,3,2,0,3,2,0,3,0,0,0,2,2,0,1,3,0,3,2,2,0,2,2,0,0,3,0,3,2,3,2,2,0,4,2,2,4,3,2,2,0,3,0,0,3,2,2,3,3,4,1,0,0,3,0,2,4,2,2,2,0,2,3,3,2,2,2,2,3,3,2,2,0,2,0,2,4,0,2,1,2,0,2,0,3,3,0,2,2,2,0,3,0,0,3,0,3,2,3,0,0,0,3,3,2,2,2,2,0,2,2,2,2,0,3,2,3,0,3,4,2,4,4,0,2,3,3,0,2,0,2,2,2,2,3,3,2,0,0,3,2,2,2,3,3,3,1,3,0,0,3,3,2,0,0,3,2,4,0,2,0,1,3,2,0,0,0,3,3,2,0,3,2,3,0,3,2,2,2,2,2,2,4,3,2,3,0,2,2,3,0,0,0,0,1,3,2,3,2,4,2,0,0,4,2,0,2,2,2,0,2,2,2,0,0,0,2,0,0,2,2,2,0,0,2,3,2,0,2,2,0,3,3,0,0,2,2,2,2,0,2,0,0,2,0,2,0,2,0,2,2,0,0,2,3,0,2,3,2,0,2,2,0,0,4,0,2,0,2,2,2,3,0,0,2,3,2,2,0,4,0,2,2,2,0,2,3,4,0,3,2,3,2,4,2,2,2,3,0,0,3,3,2,2,4,4,0,0,2,0,3,2,3,2,4,0,1,2,2,2,2,0,1,3,1,2,2,4,2,0,0,0,2,0,2,2,3,0,2,0,0,2,0,0,2,3,2,4,0,3,2,3,3,2,0,0,2,0,4,0,3,3,2,2,0,2,0,2,2,4,2,1,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,0,2,2,0,2,3,0,0,2,2,2,2,2,3,2,2,3,2,3,2,0,2,0,2,2,0,2,4,2,3,0,0,2,3,0,0,4,2,0,2,0,4,4,2,3,2,0,2,2,2,3,3,2,0,2,2,3,1,3,2,4,0,2,2,2,3,4,0,1,0,0,2,3,2,2,0,3,2,0,3,3,3,3,2,2,3,0,3,0,3,2,0,0,2,2,3,0,3,4,2,2,0,1,2,2,2,0,2,0,0,0,3,2,2,1,0,2,0,2,0,0,2,0,3,4,0,2,0,2,2,0,3,4,3,3,2,3,2,2,2,2,2,2,0,0,4,2,0,0,2,2,0,0,3,0,1,0,2,3,0,4,0,4,2,4,0,3,4,0,3,0,0,2,3,0,3,0,0,0,0,4,1,2,0,2,2,2,0,1,3,4,0,2,0,4,0,2,2,0,2,0,1,3,2,0,0,3,3,3,0,1,0,0,2,4,0,2,0,4,4,2,0,0,0,1,3,0,2,3,2,3,1,2,1,1,2,2,2,1,2,0,1,2,2,4,0,1,2,1,3,2,3,2,4,2,2,2,0,3,2,2,0,3,3,4,0,0,3,0,0,0,2,2,4,2,2,1,0,2,2,0,0,0,3,0,2,4,3,2,0,0,2,2,2,2,3,4,4,2,4,1,2,0,2,0,0,0,0,0,3,0,2,4,0,1,2,3,3,0,1,2,0,4,2,0,2,0,0,3,0,2,0,2,0,0,2,1,0,2,2,0,4,2,0,0,2,3,0,0,3,1,2,2,2,3,0,2,2,2,0,2,2,4,3,2,3,1,0,2,2,1,0,4,0,2,4,2,0,0,3,2,1,2,3,1,4,2,1,0,2,4,2,2,0,3,4,0,2,3,0,0,2,1,0,2,0,3,4,0,0,1,3,4,2,0,0,2,3,4,0,4,3,2,4,0,2,3,0,4,2,0,2,0,2,0,2,2,4,2,2,0,0,2,3,2,0,0,2,2,2,0,4,4,0,2,4,0,0,2,2,1,1,1,2,1,4,1,3,0,0,4,2,2,4,1,2,3,2,2,0,2,2,0,4,0,0,1,2,2,2,2,4,0,3,0,0,2,0,2,4,1,3,4,1,1,0,2,0,0,0,0,2,3,2,2,1,1,2,2,0,3,0,2,3,2,1,3,1,1,2,2,4,0,2,4,1,1,4,4,2,4,1,2,1,2,4,2,1,2,2,2,4,2,0,3,2,3,2,1,2,2,0,1,1,2,4,3,2,3,2,2,4,2,1,0,2,4,3,1,1,0,4,1,4,2,1,1,0,3,0,0,2,0,0,2,2,1,2,0,4,0,4,2,3,0,2,3,2,2,0,0,4,2,0,1,4,2,0,2,0,0,1,0,0,2,3,4,2,0,1,4,4,4,4,2,2,2,2,1,1,1,2,1,4,2,2,1,0,2,2,2,2,0,3,2,0,2,0,1,1,0,2,4,0,0,0,2,2,4,2,0,2,1,0,3,0,2,2,0,0,4,1,4,2,4,3,1,1,4,2,0,0,3,2,3,0,1,3,0,2,0,4,1,3,2,3,0,4,4,0,3,2,0,4,1,2,4,2,1,0,2,1,3,4,4,0,4,2,1,0,4,1,1,1,1,0,2,2,2,2,1,2,2,1,0,1,1,3,0,3,2,1,2,3,0,2,4,4,4,1,3,1,2,3,0,0,4,0,0,2,3,2,0,3,1,0,2,1,3,2,3,2,2,3,2,0,0,3,0,4,1,3,3,0,3,2,0,2,2,0,4,2,2,4,0,0,3,0,0,2,2,0,0,0,2,2,2,2,2,2,4,4,3,1,2,2,2,3,4,2,3,0,3,4,3,4,2,4,0,3,0,0,2,0,2,1,0,4,0,1,2,0,0,0,2,3,2,2,0,0,4,1,1,4,4,0,3,0,2,1,0,4,2,2,2,2,0,0,1,0,2,1,4,2,0,3,4,2,2,3,2,2,0,0,2,3,2,4,1,4,2,2,2,2,2,3,0,2,2,3,2,3,2,0,2,0,0,2,2,1,3,1,0,3,0,2,0,0,0,3,0,0,3,2,3,2,2,2,2,2,0,2,4,0,1,2,4,3,2,2,2,0,3,2,3,2,3,2,2,4,1,2,2,4,0,4,0,1,4,3,4,3,0,3,0,0,4,0,1,4,1,3,2,2,4,1,1,4,3,0,0,4,0,2,4,3,3,3,1,2,3,0,2,2,2,3,0,0,0,2,0,0,0,2,1,1,2,4,2,0,4,1,3,0,4,3,3,4,1,0,0,0,1,2,2,2,0,4,1,2,2,0,0,4,0,1,0,0,2,1,2,3,1,0,4,4,2,3,0,2,2,2,4,4,3,2,0,2,1,2,4,4,2,3,2,0,2,1,4,0,0,2,0,1,1,3,2,4,2,4,3,4,2,1,4,2,4,0,2,3,4,2,2,4,4,3,0,3,0,0,0,2,3,4,3,2,0,2,2,2,4,2,3,0,1,2,2,4,3,2,0,0,2,0,2,0,4,2,2,0,2,2,1,2,2,4,0,1,2,3,3,4,0,0,0,4,1,2,2,1,2,0,0,2,2,3,3,0,4,0,3,0,3,2,0,1,2,2,2,2,0,4,2,2,2,4,3,4,1,4,4,0,1,0,1,2,0,0,4,0,3,2,0,3,2,1,2,2,2,0,2,1,2,2,1,2,2,4,0,0,1,4,0,0,0,3,0,4,2,0,0,0,4,2,4,4,2,3,3,2,2,2,0,2,2,2,0,4,2,4,0,2,2,3,0,2,2,2,2,4,2,2,0,1,4,2,1,4,4,4,0,3,4,1,0,0,0,1,4,2,1,1,2,0]",ok,
MvDEC,C:\Users\nguye\Downloads\mvdec_fpmax\mvdec_fpmax\output\mvdec_runs\tiki\mvdec_dekm_consistent_v1\ccfbcd08db49\seed_44\artifact.pkl,d9f6e9a19b7e88a8703717d00a509e0266599fb8121980cd430d9ecdfda721bc,h_fused,44,1799,5,5,native_numeric_gower_v1,0.42748573686620606,0.4494261542830548,0.18683135110298552,0.0339077265147304,"[192,602,588,164,253]","[4,1,4,4,2,2,4,0,4,2,0,2,0,1,1,1,2,1,4,4,1,1,4,4,1,4,2,2,2,1,4,2,4,1,4,2,1,2,1,1,1,1,2,2,1,4,4,4,2,0,2,3,2,2,2,1,1,1,2,2,1,4,4,1,2,1,2,2,4,4,1,1,4,2,4,4,1,2,2,4,2,1,2,1,1,4,4,4,2,4,1,2,4,1,2,2,0,1,2,1,2,0,2,2,1,0,1,1,2,4,2,0,2,2,1,1,1,2,1,4,1,2,2,2,1,1,1,3,1,1,4,1,1,2,1,1,1,1,1,4,2,1,3,4,4,4,1,2,1,2,2,1,1,4,4,4,2,4,2,1,4,3,1,2,1,4,2,2,1,1,2,1,4,2,2,4,1,0,0,1,1,4,1,4,0,2,2,2,1,2,4,4,1,2,2,2,4,4,2,1,1,2,1,1,0,1,2,3,2,4,2,1,1,4,1,2,2,2,1,4,1,1,4,1,4,2,4,2,1,1,4,2,2,2,2,2,1,2,2,2,2,1,4,2,4,1,1,1,2,0,0,1,2,4,4,1,2,1,1,4,2,2,4,4,2,1,1,1,2,2,2,4,1,2,3,4,1,1,4,2,2,1,2,1,2,4,1,2,1,3,1,2,1,1,1,1,4,2,1,4,2,1,1,4,2,2,2,2,2,2,0,4,2,1,1,2,2,4,1,1,1,1,0,1,2,4,2,4,2,1,1,0,1,1,2,2,2,4,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,4,1,2,2,2,1,2,1,1,2,4,2,2,2,1,2,2,4,1,2,4,1,2,4,2,1,2,1,4,1,0,1,2,4,2,2,2,1,1,1,2,1,2,2,1,3,1,2,2,2,1,2,4,0,1,4,2,4,2,0,2,4,1,4,1,1,1,1,2,2,0,0,4,1,4,1,1,2,1,2,0,1,3,2,2,4,2,1,3,1,3,2,2,0,2,1,1,1,2,1,2,2,4,1,2,1,1,1,1,1,2,4,2,3,1,4,2,4,4,1,1,1,2,1,0,0,4,4,2,2,4,4,4,2,2,0,2,3,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,4,1,2,4,1,1,2,2,4,1,2,1,2,2,4,2,4,2,1,2,1,2,1,4,2,0,2,1,0,1,2,4,4,1,0,2,4,2,4,0,4,2,4,1,1,2,2,2,1,4,1,1,2,2,1,3,4,2,0,1,2,2,4,1,0,1,3,2,1,1,1,2,2,1,4,2,1,1,4,1,1,1,2,4,1,1,4,1,1,1,1,2,4,4,1,1,0,1,2,4,3,2,2,2,1,2,1,4,4,1,2,2,3,1,2,1,2,1,2,2,1,4,0,1,2,1,2,2,1,4,1,1,1,2,4,2,2,2,2,2,4,1,1,0,2,4,1,2,2,1,1,4,4,3,1,2,4,1,0,0,0,2,0,4,1,0,1,4,1,1,2,1,1,1,1,1,1,1,4,0,4,1,1,2,2,1,3,4,4,1,1,1,0,1,2,2,1,2,1,3,4,0,2,1,4,4,1,1,3,1,1,1,0,1,2,1,0,0,2,1,1,1,3,4,1,2,1,1,4,3,2,3,3,0,2,0,3,2,1,3,4,2,0,1,3,2,3,1,2,2,2,0,2,2,2,1,4,2,1,1,1,1,3,1,1,2,1,1,4,2,2,0,2,2,3,1,2,2,1,1,1,4,1,2,0,4,2,1,4,2,1,1,2,2,4,0,2,4,3,2,1,0,1,1,4,1,1,1,1,1,0,1,3,2,1,4,1,3,2,1,4,2,4,2,0,1,1,1,2,1,2,1,1,1,3,1,2,2,1,0,2,0,1,2,4,1,1,1,3,2,2,2,4,1,2,2,2,1,2,2,0,4,2,2,3,1,2,2,3,1,0,1,2,0,2,1,0,1,2,3,2,1,3,0,2,3,1,2,0,2,2,1,1,2,1,2,1,1,1,2,0,2,2,1,4,0,1,1,3,4,0,2,1,1,2,1,0,4,0,1,2,0,1,2,1,1,4,2,1,2,1,2,1,2,2,0,0,0,1,2,1,1,2,1,1,2,2,2,1,0,0,1,2,0,1,1,2,2,3,3,3,2,3,0,3,4,1,1,2,2,2,0,3,2,4,2,2,1,2,2,1,0,1,2,3,2,0,2,0,0,1,1,1,1,2,1,2,0,3,4,0,3,3,4,2,1,1,1,1,2,4,2,2,3,3,2,2,1,4,1,2,2,2,3,2,3,3,2,2,0,1,2,0,3,3,0,0,2,1,3,2,3,2,4,2,3,2,2,0,0,2,1,4,4,1,0,3,2,1,1,3,3,2,0,4,2,4,2,2,0,2,3,1,2,0,2,3,3,1,0,3,3,2,3,3,1,4,1,1,2,1,1,2,2,3,2,1,0,1,0,2,2,1,4,1,1,2,1,1,0,4,1,3,0,4,1,2,1,1,3,2,1,2,1,2,2,1,3,2,0,0,4,2,2,2,2,3,3,3,2,3,0,2,2,3,1,2,2,0,2,1,4,2,1,1,2,3,3,1,2,3,0,4,2,2,2,0,2,1,1,3,1,4,1,2,4,1,1,4,3,0,2,0,1,3,3,4,2,1,1,1,2,1,1,3,4,2,2,1,3,3,1,2,4,1,0,0,1,1,2,1,0,3,2,4,2,3,1,2,3,2,0,0,4,3,2,3,1,0,0,3,3,3,1,2,2,2,2,3,2,4,3,1,3,3,2,1,1,2,3,2,1,1,2,0,0,0,3,1,3,2,2,1,1,0,0,1,2,1,2,1,2,3,1,2,3,4,2,1,2,2,1,2,1,1,4,1,4,3,1,1,4,2,2,1,2,2,1,0,2,1,0,1,1,4,1,1,2,4,1,1,1,2,2,2,2,0,2,2,0,4,3,2,2,2,1,4,2,1,1,1,4,4,0,2,0,1,4,1,1,2,1,2,3,1,0,4,3,4,1,1,1,4,4,2,2,1,1,0,3,3,0,0,1,4,1,2,3,2,0,2,1,4,2,1,1,3,1,2,3,3,2,1,4,0,2,2,4,0,2,0,1,2,4,2,4,3,0,2,2,2,2,2,4,4,2,2,1,2,1,1,2,2,1,1,2,2,3,4,4,1,1,1,1,2,1,4,4,2,4,2,2,1,2,2,1,1,2,1,2,0,1,3,2,0,4,2,2,2,1,4,2,4,2,4,2,2,0,3,2,2,0,1,0,1,3,0,4,0,2,1,1,1,1,0,1,3,0,3,2,2,2,0,3,3,0,4,1,1,0,1,2,4,4,4,4,3,2,1,1,2,2,2,1,1,4,2,2,1,1,1,2,3,3,2,4,2,1,3,3,1,1,0,1,1,3,3,1,2,1,3,2,4,2,1,2,0,2,2,1,1,0,1,3,4,1,1,3,2,1,3,1,0,0,2,4,1,2,2,2,0,0,1,2,1,2,3,2,0,0,2,4,4,1,2,3,0,4,1,2,1,3,3,4,4,0,2,0,4,0,2,3,0,2,0,1,1,4,0,2,0,0,0,1,1,4,1,1,1,1,4,0,1,2,1,2,0,1,0,2,1,1,3,2,0,3,4,2,1,4,2,1,2,1,0,2,2,1,2,1,3,2,2,0,1,3,2,1,4,0,1,1,1,4,3,2,2,3,2,4,1,2,2,1,1,1,0,1,1,1,4,2,1,3,2,2,2,1,1,0,2,2,2,0,4,4,3,0,0,1,3,1,3,2,2,1,0,1,4,2,1,1,2,3,2,2,2,1,2,3,2,2,3,1,2,1,1,2,3,0,1,1,1,1,4,0,1,1,1,1,3,2,0,1,2,4,1,1,2,2,1,2,2,2,1,0,2,0,1,2,2,1,1,2,2,2,2,0,2,2,1,3,0,2,3,0,0,0,1,1,0,3,1,2,1,3,0,0,3,3,2,2]",ok,
