orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,cluster
0,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1622.9882,-3847.6035,-3882.3862,5931.842,-1529.6077,407.46045,10741.467,-3802.6528,-1898.6956,6962.784,1
1,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1561.3591,-3701.4963,-3734.9639,5706.5947,-1471.5286,391.99084,10333.584,-3658.2583,-1826.5953,6698.391,1
2,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1500.5905,-3557.4314,-3589.5972,5484.491,-1414.2578,376.73413,9931.395,-3515.878,-1755.5035,6437.6875,1
3,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1441.0789,-3416.3447,-3447.239,5266.9834,-1358.1729,361.79492,9537.523,-3376.4426,-1685.8811,6182.377,1
4,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1382.9369,-3278.5051,-3308.1572,5054.4814,-1303.3789,347.20044,9152.72,-3240.2173,-1617.8601,5932.9434,1
5,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1326.3682,-3144.3955,-3172.8398,4847.731,-1250.0688,333.00085,8778.328,-3107.6787,-1551.6804,5690.2603,1
6,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1271.5859,-3014.5193,-3041.7954,4647.509,-1198.4421,319.2494,8415.759,-2979.3254,-1487.5902,5455.2417,1
7,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1218.8623,-2889.5117,-2915.6814,4454.8135,-1148.7717,306.02307,8066.809,-2855.8003,-1425.9026,5229.063,1
8,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1168.3969,-2769.8684,-2794.9634,4270.368,-1101.2158,293.35657,7732.8076,-2737.5615,-1366.8616,5012.5635,1
9,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1113.6097,-2639.9998,-2663.897,4070.1216,-1049.5629,279.59216,7370.2114,-2609.189,-1302.7739,4777.5083,1
10,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1044.5562,-2476.2917,-2498.7134,3817.7393,-984.48474,262.2575,6913.1895,-2447.398,-1221.9885,4481.2627,1
11,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,970.34265,-2300.3516,-2321.187,3546.498,-914.5443,243.62823,6422.018,-2273.5173,-1135.1663,4162.881,3
12,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,896.145,-2124.4473,-2143.6982,3275.3145,-844.6199,225.00305,5930.949,-2099.6736,-1048.3618,3844.5671,3
13,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,821.96674,-1948.5891,-1966.2568,3004.203,-774.71436,206.38293,5440.0117,-1925.8757,-961.58044,3526.3376,3
14,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,747.81396,-1772.7903,-1788.8762,2733.1836,-704.8334,187.76996,4949.2407,-1752.1382,-874.8281,3208.2173,3
15,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,673.6957,-1597.0728,-1611.5776,2462.2903,-634.9855,169.1654,4458.697,-1578.4806,-788.116,2890.2446,3
16,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,599.6223,-1421.4531,-1434.393,2191.5652,-565.193,150.57861,3968.4495,-1404.9335,-701.4526,2572.475,3
17,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,525.6167,-1246.0021,-1257.3641,1921.0833,-495.4524,132.0029,3478.65,-1231.5403,-614.8718,2254.9858,3
18,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,451.71,-1070.7855,-1080.5731,1650.9641,-425.80566,113.45236,2989.5073,-1058.3799,-528.4072,1937.9231,3
19,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,377.96097,-895.95056,-904.15076,1381.4175,-356.2975,94.936005,2501.4001,-885.58276,-442.12885,1621.5264,0
20,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,304.48718,-721.77545,-728.3884,1112.8748,-287.03888,76.48395,2015.1342,-713.431,-356.17896,1306.3083,0
21,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,231.53685,-548.79877,-553.8949,846.26086,-218.32855,58.191498,1532.2964,-542.5195,-270.81738,993.368,0
22,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,159.85373,-378.88852,-382.41098,584.25745,-150.73184,40.176636,1057.9009,-374.55823,-186.97293,685.81976,0
23,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,92.402504,-218.92776,-221.07767,337.7479,-87.2314,23.277985,611.43805,-216.53621,-108.03333,396.4843,0
24,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,32.29316,-76.43916,-77.28519,118.05095,-30.563816,8.179424,213.62729,-75.69709,-37.719757,138.60039,0
25,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,40.67414,-96.30684,-97.3344,148.68324,-38.464012,10.284374,269.09564,-95.33422,-47.523895,174.55692,0
26,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,114.7857,-272.01697,-274.61282,419.54773,-108.293884,28.880997,759.6033,-268.97263,-134.2335,492.49307,0
27,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,189.05035,-448.0974,-452.2576,690.9714,-178.25824,47.51181,1251.133,-442.96906,-221.12587,811.08344,0
28,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,227.65509,-539.6169,-544.60535,832.06757,-214.64294,57.20395,1506.6318,-533.42004,-266.28845,976.70276,0
29,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,262.46027,-622.12885,-627.8644,959.2771,-247.44705,65.94243,1736.9846,-614.969,-307.00604,1126.0219,0
30,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,311.42856,-738.2176,-745.0028,1138.2509,-293.59857,78.236145,2061.0735,-729.70154,-364.29297,1336.1016,0
31,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,368.9627,-874.614,-882.63196,1348.532,-347.82263,92.680176,2441.855,-864.50415,-431.60132,1582.9297,0
32,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,431.6527,-1023.2587,-1032.5807,1577.6487,-406.87354,108.4021,2856.7676,-1011.376,-504.95294,1851.8553,3
33,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,482.57092,-1143.974,-1154.3822,1763.7483,-454.85767,121.18295,3193.7644,-1130.6759,-564.5227,2070.2976,3
34,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,530.9166,-1258.5891,-1270.0302,1940.4462,-500.41864,133.31885,3513.7344,-1243.9487,-621.08264,2277.704,3
35,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,584.56793,-1385.7819,-1398.3704,2136.5361,-550.9812,146.7873,3868.8188,-1369.6531,-683.8491,2507.8735,3
36,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,642.1371,-1522.262,-1536.0828,2346.9448,-605.23706,161.2395,4249.8325,-1504.5371,-751.1985,2754.851,3
37,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,702.812,-1666.1049,-1681.2253,2568.7056,-662.4209,176.47156,4651.4014,-1646.6985,-822.1813,3015.1536,3
38,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_43,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,765.7714,-1815.3647,-1831.8319,2798.8164,-721.756,192.27692,5068.0913,-1794.2119,-895.8374,3285.256,3
