orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,cluster
19,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,3051.7646,1149.8964,-317.51456,539.6596,1433.9021,-437.8994,393.55063,335.82324,-1.9609528,-449.0918,0
20,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,2458.4727,926.3638,-255.79195,434.7433,1155.1423,-352.76965,317.04376,270.54034,-1.5722504,-361.77444,0
21,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1869.458,704.43835,-194.5121,330.58423,878.39166,-268.25153,241.08807,205.72562,-1.1896057,-275.09198,0
22,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1290.6743,486.37213,-134.29933,228.23404,606.44794,-185.20348,166.4526,142.0392,-0.80940247,-189.90823,0
23,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,746.00586,281.1546,-77.63242,131.91663,350.53418,-107.048775,96.215034,82.104195,-0.45682144,-109.754395,0
24,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,260.66168,98.29199,-27.139965,46.09012,122.49356,-37.408257,33.628666,28.699091,-0.13878632,-38.324318,0
25,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,328.32767,123.78587,-34.179634,58.056213,154.2868,-47.118095,42.354477,36.144894,-0.1830864,-48.28329,0
26,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,926.6999,349.2362,-96.43241,163.87021,435.43445,-132.97885,119.51641,101.98868,-0.57289886,-136.34505,0
27,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1526.3936,575.1829,-158.82248,269.91843,717.20184,-219.02783,196.8489,167.9768,-0.9636612,-224.60077,0
28,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,1838.1003,692.6251,-191.2511,325.03943,863.6584,-263.75397,237.04422,202.27573,-1.1673126,-270.4749,0
29,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,2119.129,798.5086,-220.48788,374.7353,995.70044,-304.07794,273.28333,233.19888,-1.3509369,-311.8341,0
30,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,2514.5151,947.47876,-261.62204,444.654,1181.474,-360.8112,324.2693,276.70566,-1.6092224,-370.02356,0
31,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,2979.0667,1122.5085,-309.95197,526.8036,1399.7452,-427.46878,384.17432,327.82318,-1.9126892,-438.39212,0
32,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,3485.311,1313.2439,-362.6192,616.3268,1637.6051,-500.1089,449.4581,383.52975,-2.2432098,-512.8956,3
33,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,3896.449,1468.1476,-405.39233,689.0313,1830.7799,-559.103,502.47607,428.77026,-2.5116577,-573.4035,3
34,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,4286.813,1615.2244,-446.00436,758.0622,2014.1937,-615.11633,552.8149,471.72473,-2.7666626,-630.8541,3
35,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,4720.0146,1778.4413,-491.0729,834.6686,2217.7349,-677.27625,608.67773,519.3928,-3.0497437,-694.60913,3
36,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,5184.8486,1953.5767,-539.4321,916.86847,2436.1392,-743.97473,668.6195,570.54156,-3.3534546,-763.01965,3
37,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,5674.761,2138.1611,-590.4006,1003.50275,2666.3262,-814.2716,731.795,624.4498,-3.6735535,-835.12067,3
38,mvdec_dekm_consistent_v1,airpollution_mvdec_dekm_consistent_v1_2b88b20cd9b6_seed_42,2b88b20cd9b6ab9268889294ab249f6a1e5fb71b3e5ee88d2e8fde10ebe63a10,6183.119,2329.694,-643.2879,1093.3998,2905.1802,-887.21594,797.3496,680.3879,-4.0057373,-909.93695,3
