original_index,followers,revenue,yearsjoined,rating,goodreview,mediumreview,badreview,fused_1,fused_2,fused_3,fused_4,fused_5,artifact_cluster,reclustered_cluster_raw,reclustered_cluster_aligned
524,-0.07328592104,-0.05350331779,-1.21126606,0.5168232574,0.7158228767,-0.3049208242,-0.485322535,-0.18373096,-0.08753869,0.043452904,0.05457881,-0.43190753,2,1,2
525,-0.07568269992,0.008283297655,-0.6077859505,0.461656505,0.6045489978,0.4138943112,0.9601615678,-0.1592781,-0.07510793,0.064991124,0.050916523,-0.43825898,2,1,2
526,-0.07064946428,-0.05008040182,-0.6077859505,0.3310672157,0.5292599767,0.2666890995,0.4716859799,-0.14492223,-0.0980635,0.064551584,0.037016958,-0.4037692,2,1,2
527,-0.02798680023,-0.04688000918,-0.6077859505,0.7590939451,0.8305330169,-0.08439298438,-0.2942160871,-0.1590881,-0.09951012,0.057279136,0.07832655,-0.48192728,2,1,2
528,-0.05171491113,0.008283297655,0.5991742694,0.3145192422,0.7078669009,1.339262222,0.3409482301,-0.09059051,-0.2290353,-0.021648318,0.12853135,-0.34434015,3,0,3
529,-0.006176112425,0.008283297655,-0.004305840521,0.6140855655,0.7422165429,0.2304526122,-0.3182849626,-0.07695933,-0.13755691,0.03944655,0.10530417,-0.40796703,0,3,0
530,-0.07568269992,-0.0541487732,-0.6077859505,0.2873907177,0.4962897065,-0.3089485223,-0.08094806396,-0.14491163,-0.12651539,0.037217885,0.0466338,-0.3832992,0,3,0
531,-0.0728864579,-0.0540646,0.5991742694,-0.04025556944,-0.3507398952,0.5482379279,1.229514076,-0.168701,-0.18606058,-0.0032933056,0.12464557,-0.27389416,3,0,3
532,-0.002421158847,-0.009541687002,-0.004305840521,0.6881285737,0.8522607941,0.0648929783,-0.1232629487,-0.07774879,-0.12166406,0.045833774,0.10892865,-0.42744184,0,3,0
533,0.1000810846,0.008283297655,-0.004305840521,0.4453639017,0.5960286889,1.778679156,0.9548898704,-0.12613136,-0.20314299,-0.049339533,0.18513238,-0.38106978,3,0,3
534,-0.07568269992,-0.05460874998,-0.6077859505,-0.007436365756,0.4269174775,-0.7247974588,0.01118843507,-0.11745742,-0.09935975,0.014480919,0.059429996,-0.41745293,0,3,0
535,-0.009212032339,-0.04995056253,1.806134489,0.3656883388,0.5688256554,0.5603741808,0.8039134908,-0.08183034,-0.15739323,0.015786529,0.11182903,-0.361804,0,3,0
536,-0.07336581367,-0.05493183904,-0.6077859505,0.5727969717,0.6648754206,-0.5180331276,-0.7072697442,-0.18634391,-0.12462303,0.037348926,0.06236851,-0.44689593,2,1,2
537,-0.01640236898,-0.04830426226,0.5991742694,0.7603965696,0.8787135592,-0.1987383602,-0.3891047031,-0.08457056,-0.1335176,0.036717102,0.108393766,-0.4158182,0,3,0
538,-0.07568269992,-0.04294365369,-1.21126606,0.3990535604,0.6337835334,0.04437977508,0.5651927512,-0.17677394,-0.08061996,0.08584573,0.023269862,-0.47959447,2,1,2
539,-0.06258030872,-0.04856725675,-0.004305840521,0.392886298,0.5127657465,0.5585362271,0.4910051019,-0.09921677,-0.14403982,0.03887137,0.08975589,-0.34250382,0,3,0
540,-0.07032989376,-0.05493183904,1.202654379,0.2548343436,-0.3597223444,-0.7247974588,1.319609953,-0.035712406,-0.16424501,0.031230554,0.09323225,-0.47302434,0,3,0
541,-0.06617547704,-0.05483916349,-0.6077859505,0.6927198129,0.7591145201,-0.7247974588,-0.6311043635,-0.1853604,-0.11512656,0.048971698,0.05924239,-0.4901488,2,1,2
542,-0.07568269992,-0.05356126126,1.806134489,0.4028982939,-2.303363299,-0.7247974588,-0.7072697442,-0.13134095,-0.35070348,-0.0036131889,0.036866307,-0.6243469,4,4,4
543,-0.07392506208,-0.05492971345,-0.6077859505,0.02132854446,0.3750908806,-0.7247974588,0.8607821501,-0.076935686,-0.10346281,0.04916169,0.029594421,-0.46164334,2,1,2
544,0.02817771818,-0.05001450866,0.5991742694,0.5701201887,0.6777022938,1.186443334,0.3030140512,-0.10841256,-0.18477821,0.005770594,0.143465,-0.36912793,0,3,0
545,-0.07568269992,-0.05253270725,0.5991742694,0.3848716465,-0.6220677953,-0.7247974588,-0.7072697442,-0.095183596,-0.15481085,0.024147496,0.10799671,-0.4114601,0,3,0
546,-0.06505698023,-0.05493183904,0.5991742694,0.6289768972,0.693920364,0.289129269,-0.6008232677,-0.08953834,-0.16144162,0.051348083,0.115722395,-0.37557596,0,3,0
547,-0.07560280729,-0.05470227576,-1.21126606,-0.4584482248,0.006621235816,-0.7247974588,-0.7072697442,-0.16743739,-0.06365776,0.045330793,0.055569366,-0.46920237,2,1,2
548,-0.02175517514,0.008283297655,1.202654379,0.3357347379,0.5315248745,1.140456804,1.541066961,-0.113584,-0.18207309,-0.032236516,0.14026971,-0.33886993,3,0,3
549,-0.07568269992,-0.05308683049,1.806134489,0.3267314518,0.4386878113,1.000138211,1.24606008,-0.11265653,-0.21152037,-0.012300432,0.15189387,-0.33918148,3,0,3
550,0.1400273992,-0.05251929906,1.806134489,0.5833659319,0.7209429795,0.8569331838,-0.0902808479,-0.11202937,-0.15730315,0.060755342,0.13249104,-0.36891696,0,3,0
551,-0.07472398837,-0.05298480237,-0.6077859505,-0.2719145533,-0.8580784041,-0.7247974588,-0.7072697442,-0.14810674,-0.056858063,0.025426745,0.045805603,-0.4574504,2,1,2
552,-0.02758733708,-0.05125415034,-1.21126606,0.718362599,0.8500845009,-0.5103819655,-0.4599275523,-0.19534224,-0.077765435,0.06763454,0.063190654,-0.48255184,2,1,2
553,-0.03965112411,-0.05486382029,1.202654379,0.2568494919,-0.148679252,0.526683931,1.761924492,-0.13396758,-0.16679436,-0.026929706,0.1525455,-0.35220122,3,0,3
554,-0.03501735161,-0.04965090593,-1.21126606,0.5293321921,0.6396655006,-0.6087378572,0.664592693,-0.15994123,-0.07291746,0.09628386,0.04508747,-0.53596807,2,1,2
555,-0.06969075272,-0.01126295244,1.806134489,-0.2603822838,-0.1402308836,0.4348093088,1.761924492,-0.079747856,-0.22800657,-0.025139242,0.13015406,-0.30898312,3,0,3
556,-0.07568269992,-0.04508612523,-1.21126606,0.2956239839,-1.622586598,-0.7247974588,-0.7072697442,-0.22482777,-0.16029415,0.011632234,0.0060264766,-0.59974545,4,4,4
557,-0.06489719497,-0.04845730444,-0.6077859505,0.5194322749,-1.314599623,-0.7247974588,1.761924492,-0.27662036,-0.30005765,0.07795037,0.0033601373,-0.7539819,1,2,1
558,-0.0636189129,-0.05471928045,-0.6077859505,0.6767450698,0.8447592499,-0.6866873122,-0.4629149579,-0.16594991,-0.108421385,0.05858831,0.04977049,-0.4724584,2,1,2
559,-0.07568269992,-0.05124777358,0.5991742694,0.5073037583,0.5172349158,0.8245319357,1.456420905,-0.115351155,-0.16429469,0.0016027689,0.1326652,-0.37904057,0,3,0
560,-0.05523018682,-0.05331375804,-0.004305840521,0.5615226492,0.6703330051,0.3343037424,0.6841378781,-0.09653563,-0.10832539,0.04024539,0.0837145,-0.37722063,0,3,0
561,-0.03134229066,-0.05493183904,0.5991742694,0.5344788418,0.4460561415,-0.26379961,-0.0125919015,-0.1270406,-0.11685766,0.0168926,0.07121514,-0.37518623,0,3,0
562,0.1400273992,-0.04966487188,-1.21126606,0.713510815,0.879002324,-0.6956334431,-0.5203891261,-0.2013365,-0.07376397,0.07574496,0.069019645,-0.50610584,2,1,2
563,0.09209182162,-0.05379422547,-0.6077859505,0.5423299988,0.7700513825,-0.6669135544,-0.3356297489,-0.16305378,-0.09633969,0.06656727,0.055222087,-0.45399547,2,1,2
