job_index,strategy,n_bins,min_support,trial_index,stage,silhouette_score,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message,is_best
6,uniform,3,0.7,20,coarse,0.4081585705280304,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[168, 205, 813, 253, 360]",0.5,0.8,2.0,ok,,False
6,uniform,3,0.7,21,coarse,0.42944884300231934,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 838, 240, 353]",0.5,0.8,3.0,ok,,False
6,uniform,3,0.7,22,coarse,0.4379306733608246,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 203, 846, 239, 347]",0.5,0.8,4.0,ok,,False
6,uniform,3,0.7,23,coarse,0.441247820854187,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 203, 849, 236, 347]",0.5,0.8,5.0,ok,,False
6,uniform,3,0.7,24,coarse,0.41727569699287415,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 206, 794, 258, 375]",0.8,0.2,2.0,ok,,False
6,uniform,3,0.7,25,coarse,0.42450639605522156,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 204, 809, 250, 370]",0.8,0.2,3.0,ok,,False
6,uniform,3,0.7,26,coarse,0.42670366168022156,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 204, 809, 248, 371]",0.8,0.2,4.0,ok,,False
6,uniform,3,0.7,27,coarse,0.42718711495399475,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 204, 804, 251, 373]",0.8,0.2,5.0,ok,,False
6,uniform,3,0.7,28,coarse,0.39632511138916016,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 217, 762, 265, 389]",0.8,0.5,2.0,ok,,False
6,uniform,3,0.7,29,coarse,0.4194963872432709,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 203, 797, 256, 377]",0.8,0.5,3.0,ok,,False
6,uniform,3,0.7,30,coarse,0.4256155788898468,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 204, 804, 254, 371]",0.8,0.5,4.0,ok,,False
6,uniform,3,0.7,31,coarse,0.4270818531513214,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 204, 804, 251, 374]",0.8,0.5,5.0,ok,,False
6,uniform,3,0.7,32,coarse,0.38653045892715454,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[171, 220, 751, 264, 393]",0.8,0.8,2.0,ok,,False
6,uniform,3,0.7,33,coarse,0.41865453124046326,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 203, 793, 262, 375]",0.8,0.8,3.0,ok,,False
6,uniform,3,0.7,34,coarse,0.4239743649959564,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 203, 801, 257, 372]",0.8,0.8,4.0,ok,,False
6,uniform,3,0.7,35,coarse,0.426290899515152,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 204, 802, 255, 373]",0.8,0.8,5.0,ok,,False
6,uniform,3,0.7,36,refine,0.4645221531391144,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 181, 1000, 191, 270]",0.1,0.1,5.0,ok,,False
