job_index,group_index,strategy,n_bins,min_support,silhouette_score,n_itemsets,selected_features,init
15,0,uniform,3,0.25,0.2313859611749649,38,"revenue_high+yearsjoined_low+latent1_medium, mediumreview_low+badreview_medium+revenue_high+followers_medium+latent4_high+latent2_medium+goodreview_low, revenue_medium+rating_high+latent3_low, mediumreview_low+latent4_high+revenue_high+followers_medium+latent2_medium+latent3_low+goodreview_low, latent3_low+latent1_high, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high, rating_high+latent3_low+latent1_medium+latent2_medium, mediumreview_low+latent4_high+followers_medium+latent1_medium+latent2_medium+goodreview_low, mediumreview_low+revenue_medium, mediumreview_low+latent4_high+latent3_low+latent1_medium+goodreview_low, mediumreview_low+goodreview_low+yearsjoined_medium+latent4_high, yearsjoined_medium+latent2_medium, mediumreview_low+goodreview_low+latent1_high, latent2_medium+latent1_high, mediumreview_low+goodreview_low+latent1_medium+badreview_medium, badreview_high, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+followers_medium+latent2_medium+goodreview_low, latent4_medium, yearsjoined_low+latent1_medium+latent2_medium, yearsjoined_medium+followers_medium, mediumreview_low+rating_high+yearsjoined_medium+latent4_high, followers_medium+latent1_high, mediumreview_low+latent3_low+goodreview_low+rating_high+yearsjoined_medium, badreview_medium+revenue_high+yearsjoined_low, mediumreview_low+latent4_high+yearsjoined_low+latent3_low+latent2_medium, mediumreview_low+latent4_high+yearsjoined_low+latent3_low+goodreview_low, mediumreview_low+yearsjoined_low+latent3_low+latent2_medium+goodreview_low, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+latent2_medium+goodreview_low, badreview_medium+yearsjoined_low+followers_medium+latent2_medium+goodreview_low, mediumreview_low+latent4_high+latent1_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+yearsjoined_low+latent1_medium+goodreview_low, mediumreview_low+latent4_high+latent3_low+latent1_medium+rating_high, rating_medium, rating_high+revenue_high, mediumreview_low+latent4_high+latent1_medium+badreview_medium, mediumreview_low+badreview_medium+yearsjoined_low+followers_medium+goodreview_low, badreview_medium+latent1_medium+latent2_medium, rating_high+goodreview_low+latent1_medium+latent3_low",huang
16,0,uniform,3,0.2,0.2671715319156647,67,"latent4_medium, mediumreview_low+latent4_high+latent3_low+latent1_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+latent3_low+goodreview_low+rating_high+yearsjoined_medium, revenue_high+yearsjoined_low+goodreview_low+latent1_medium, rating_high+latent3_low+yearsjoined_medium+latent2_medium, mediumreview_low+latent4_high+yearsjoined_low+followers_medium+latent2_medium+latent3_low+goodreview_low, mediumreview_low+latent4_high+latent3_low+latent1_medium+latent2_medium+goodreview_low, badreview_medium+rating_high+latent1_medium+latent3_low, mediumreview_low+followers_medium+latent3_low+rating_high+yearsjoined_medium, goodreview_low+rating_medium, mediumreview_low+latent4_high+followers_medium+latent3_low+latent1_medium+goodreview_low, badreview_high+latent1_medium, mediumreview_low+revenue_medium+goodreview_low+latent4_high, mediumreview_low+badreview_medium+latent4_high+latent1_medium+latent2_medium+goodreview_low, revenue_high+yearsjoined_low+rating_medium, mediumreview_low+latent4_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+goodreview_low, rating_high+followers_low+latent3_low, mediumreview_low+revenue_high+goodreview_low+latent1_medium, mediumreview_low+rating_high+revenue_medium+latent4_high, mediumreview_low+latent4_high+latent1_medium+latent2_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+latent2_medium+goodreview_low+yearsjoined_medium, mediumreview_low+latent4_high+followers_medium+latent3_low+goodreview_low+latent1_high, mediumreview_low+latent1_medium+latent3_low+badreview_medium, badreview_medium+yearsjoined_low+latent1_medium, mediumreview_low+latent4_high+followers_medium+goodreview_low+yearsjoined_medium, mediumreview_low+latent4_high+latent3_low+latent2_medium+goodreview_low+latent1_high, revenue_medium+rating_high+latent1_medium+latent3_low, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent1_medium+goodreview_low, mediumreview_low+badreview_medium+revenue_high+followers_medium+latent4_high+latent2_medium+latent3_low+goodreview_low+rating_high, mediumreview_low+latent4_high+followers_medium+latent2_medium+goodreview_low+latent1_high, mediumreview_low+revenue_high+yearsjoined_low+latent1_medium, mediumreview_low+rating_medium, mediumreview_low+latent1_medium+latent2_medium+latent3_low+goodreview_low+rating_high, badreview_high+yearsjoined_low, mediumreview_low+latent4_high+followers_medium+latent1_medium+goodreview_low+rating_high, mediumreview_low+revenue_high+latent4_high+latent1_medium, mediumreview_low+latent4_high+followers_medium+latent3_low+latent1_medium+rating_high, mediumreview_low+latent3_low+goodreview_low+rating_high+latent1_high, revenue_high+followers_medium+latent1_medium, mediumreview_low+latent4_high+latent2_medium+latent3_low+latent1_medium+rating_high, revenue_medium+rating_high+yearsjoined_medium+latent3_low, mediumreview_low+latent4_high+yearsjoined_low+latent2_medium+rating_high, rating_high+followers_medium+latent3_low+latent1_high, mediumreview_low+badreview_medium+yearsjoined_low+latent3_low+goodreview_low, mediumreview_low+latent4_high+yearsjoined_low+goodreview_low+rating_high, mediumreview_low+latent2_medium+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+rating_high+latent1_medium+badreview_medium, revenue_medium+followers_medium, mediumreview_low+yearsjoined_medium+latent4_high+badreview_medium, mediumreview_low+badreview_medium+latent3_low+rating_high+yearsjoined_medium, mediumreview_low+latent3_low+revenue_medium+goodreview_low+rating_high, mediumreview_low+badreview_medium+revenue_high+yearsjoined_low+followers_medium+latent2_medium+latent4_high+goodreview_low, rating_high+latent3_low+latent2_medium+latent1_high, mediumreview_low+latent4_high+revenue_high+goodreview_low+latent1_high, mediumreview_low+latent4_high+badreview_medium+goodreview_low+latent1_high, mediumreview_low+revenue_high+followers_medium+latent2_medium+goodreview_low+latent1_high, mediumreview_low+latent3_low+yearsjoined_medium+latent2_medium, mediumreview_low+revenue_medium+latent1_medium, mediumreview_low+followers_medium+latent2_medium+latent3_low+goodreview_low+latent1_high, mediumreview_low+latent4_high+yearsjoined_low+latent3_low+rating_high, mediumreview_low+followers_medium+goodreview_low+rating_high+yearsjoined_medium, latent3_low+yearsjoined_medium+goodreview_low+latent2_medium, revenue_medium+rating_high+latent2_medium, mediumreview_low+badreview_medium+followers_medium+goodreview_low+latent1_high, badreview_medium+goodreview_low+latent2_medium+latent1_high, mediumreview_low+latent4_high+followers_medium+rating_high+yearsjoined_medium, revenue_high+latent1_medium+latent2_medium",cao
17,0,uniform,3,0.15,0.192447692155838,82,"mediumreview_low+badreview_medium+revenue_high+followers_medium+latent4_high+latent2_medium+latent3_low+goodreview_low+rating_high, revenue_medium+rating_high+latent3_low+latent2_medium, mediumreview_medium+latent4_medium, mediumreview_low+latent4_high+latent3_low+revenue_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+yearsjoined_low+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high, mediumreview_low+badreview_medium+latent4_high+latent3_low+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+badreview_medium+latent4_high+latent1_medium+latent3_low+goodreview_low+rating_high, mediumreview_low+latent3_low+revenue_medium+rating_high+yearsjoined_medium, rating_high+latent3_low+followers_low+latent2_medium, badreview_medium+latent2_medium+latent3_low+latent1_medium+rating_high, revenue_medium+latent1_medium+latent2_medium, mediumreview_low+latent4_high+followers_medium+latent1_medium+latent2_medium+latent3_low+goodreview_low+rating_high, latent4_medium+latent1_medium, rating_medium+latent3_medium, mediumreview_low+revenue_high+yearsjoined_low+goodreview_low+rating_medium, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+goodreview_low, badreview_medium+latent3_low+latent2_medium+rating_high+yearsjoined_medium, mediumreview_low+badreview_medium+revenue_high+followers_medium+latent4_high+latent2_medium+latent3_low+goodreview_low+latent1_high, mediumreview_low+latent4_high+yearsjoined_low+latent1_medium+latent2_medium+latent3_low+goodreview_low, mediumreview_low+revenue_medium+goodreview_low+yearsjoined_medium, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+latent2_medium+latent3_low+goodreview_low+rating_high, badreview_high+revenue_high+yearsjoined_low+latent1_medium, latent4_high+mediumreview_low+latent2_medium+revenue_medium+goodreview_low, mediumreview_low+badreview_medium+latent4_high+latent2_medium+goodreview_low+yearsjoined_medium, mediumreview_low+latent4_high+latent2_medium+goodreview_low+rating_medium, mediumreview_low+badreview_medium+latent4_high+latent1_medium+latent2_medium+latent3_low+goodreview_low, mediumreview_low+revenue_medium+followers_medium+latent4_high, goodreview_low+latent3_medium, mediumreview_low+followers_medium+latent3_low+revenue_medium+rating_high, mediumreview_low+latent4_high+revenue_high+goodreview_low+rating_medium, mediumreview_low+revenue_medium+yearsjoined_medium+latent4_high, badreview_high+goodreview_low, goodreview_low+latent1_medium+rating_medium, yearsjoined_low+latent3_medium, goodreview_medium+latent4_medium, goodreview_low+followers_medium+latent2_medium+rating_medium, mediumreview_low+badreview_medium+latent4_high+followers_medium+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+badreview_medium+latent4_high+latent1_medium+latent2_medium+goodreview_low+rating_high, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high+latent1_high, rating_high+yearsjoined_medium+latent1_medium, mediumreview_low+latent4_high+yearsjoined_low+goodreview_low+rating_medium, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+rating_medium, badreview_medium+revenue_high+yearsjoined_low+latent1_medium, mediumreview_low+latent2_medium+revenue_medium+goodreview_low+rating_high, mediumreview_low+badreview_medium+followers_medium+latent1_medium+latent3_low+rating_high, mediumreview_low+badreview_medium+latent4_high+latent2_medium+rating_high+yearsjoined_medium, revenue_medium+yearsjoined_medium+latent1_medium, mediumreview_low+revenue_medium+goodreview_low+followers_medium, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent1_medium+latent3_low+goodreview_low, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent3_low+rating_high+yearsjoined_medium, mediumreview_low+latent4_high+latent1_medium+revenue_medium+goodreview_low+rating_high, mediumreview_low+latent1_medium+latent3_low+revenue_medium+goodreview_low+rating_high, mediumreview_low+revenue_high+latent2_medium+goodreview_low+rating_medium, mediumreview_low+latent4_high+yearsjoined_low+followers_medium+latent2_medium+latent1_medium+latent3_low, mediumreview_low+revenue_high+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high+latent1_high, revenue_high+yearsjoined_low+latent1_medium+rating_medium, mediumreview_low+badreview_medium+latent3_low+revenue_medium+rating_high, revenue_high+latent3_medium, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+followers_medium+latent2_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+yearsjoined_low+followers_medium+latent1_medium+latent3_low+goodreview_low, yearsjoined_low+followers_medium+rating_medium, revenue_high+followers_medium+rating_medium, mediumreview_low+yearsjoined_low+latent2_medium+goodreview_low+rating_medium, mediumreview_low+latent4_high+latent3_low+latent1_medium+revenue_medium+rating_high, mediumreview_low+latent4_high+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+followers_medium+rating_medium, revenue_medium+rating_high+goodreview_low+yearsjoined_medium, mediumreview_low+badreview_medium+latent2_medium+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+followers_medium+latent3_low+goodreview_low+rating_high, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent1_medium+rating_high, mediumreview_low+yearsjoined_medium+latent1_medium, badreview_low, goodreview_low+yearsjoined_medium+latent3_low+latent1_high, mediumreview_low+latent4_high+revenue_high+latent3_low+goodreview_low+rating_high+latent1_high, mediumreview_low+latent3_low+rating_high+yearsjoined_medium+latent1_high, mediumreview_low+goodreview_low+yearsjoined_medium+latent1_high, mediumreview_low+badreview_high+latent4_high, revenue_high+yearsjoined_low+latent2_medium+goodreview_low+rating_medium, mediumreview_low+badreview_medium+latent3_low+latent2_medium+yearsjoined_medium, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent3_low+goodreview_low+yearsjoined_medium, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+goodreview_low, mediumreview_low+badreview_medium+revenue_high+yearsjoined_low+followers_medium+latent2_medium+latent3_low+latent4_high+goodreview_low",cao
18,0,uniform,3,0.1,0.1942671835422516,127,"rating_high+badreview_low+latent3_low, mediumreview_low+badreview_medium+revenue_high+followers_medium+latent4_high+latent2_medium+latent3_low+goodreview_low+rating_high+latent1_high, goodreview_medium+mediumreview_medium+latent4_medium, mediumreview_low+latent4_high+latent3_low+revenue_medium+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+latent4_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+latent3_low+goodreview_low+rating_high, mediumreview_low+latent4_high+followers_medium+latent3_low+revenue_medium+goodreview_low+rating_high, revenue_medium+rating_high+followers_low+latent3_low, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent1_medium+latent2_medium+latent3_low+goodreview_low+rating_high, rating_high+latent4_medium+latent3_low, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+followers_medium+latent2_medium+goodreview_low+rating_medium, mediumreview_low+badreview_medium+revenue_high+yearsjoined_low+followers_medium+latent2_medium+latent3_low+latent4_high+goodreview_low+rating_high, mediumreview_low+badreview_medium+revenue_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+latent4_high+goodreview_low, mediumreview_low+latent1_medium+latent3_low+revenue_medium+rating_high+yearsjoined_medium, latent3_low+latent2_medium+revenue_medium+rating_high+yearsjoined_medium, mediumreview_low+revenue_high+yearsjoined_low+latent1_medium+goodreview_low+rating_medium, revenue_high+yearsjoined_low+latent1_medium+rating_medium+latent3_medium, mediumreview_low+badreview_high+yearsjoined_low+latent4_high, mediumreview_low+latent4_high+latent2_medium+latent1_medium+goodreview_low+rating_medium, badreview_medium+rating_high+followers_low+latent3_low, mediumreview_low+followers_medium+latent3_low+revenue_medium+rating_high+yearsjoined_medium, rating_high+yearsjoined_medium+latent2_low+latent3_low, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+latent3_low+goodreview_low, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+latent1_medium+latent2_medium+latent3_low+goodreview_low+rating_high, mediumreview_low+badreview_medium+latent4_high+latent1_medium+latent3_low+revenue_medium+goodreview_low+rating_high, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+followers_medium+latent1_medium+latent2_medium+latent3_low+goodreview_low, revenue_high+yearsjoined_low+latent1_medium+latent2_high+followers_high, mediumreview_low+latent2_medium+revenue_medium+goodreview_low+yearsjoined_medium, rating_high+yearsjoined_medium+followers_low+latent3_low, mediumreview_low+latent1_medium+latent3_low+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+latent4_high+latent1_medium+revenue_medium+goodreview_low+yearsjoined_medium, goodreview_medium+latent4_medium+latent1_medium, mediumreview_low+latent4_high+followers_medium+latent1_medium+revenue_medium+goodreview_low+rating_high, mediumreview_low+badreview_high+followers_medium+latent4_high, mediumreview_low+latent4_high+latent1_medium+latent2_medium+latent3_low+revenue_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+latent3_low+latent1_medium+rating_high+yearsjoined_medium, mediumreview_low+latent4_high+latent1_medium+goodreview_low+rating_high+yearsjoined_medium, rating_high+latent3_low+yearsjoined_high, revenue_medium+rating_high+latent2_low+latent3_low, yearsjoined_medium+latent1_medium+latent2_medium, mediumreview_low+latent4_high+yearsjoined_low+latent1_medium+goodreview_low+rating_medium, mediumreview_low+badreview_medium+followers_medium+latent2_medium+goodreview_low+rating_medium, revenue_high+yearsjoined_low+latent1_medium+badreview_high+followers_high, mediumreview_low+latent4_high+revenue_high+latent1_medium+goodreview_low+rating_medium, mediumreview_low+latent4_high+followers_medium+latent1_medium+latent3_low+revenue_medium+rating_high, badreview_high+goodreview_low+yearsjoined_low+latent1_medium, mediumreview_low+badreview_medium+followers_medium+latent3_low+revenue_medium+rating_high, badreview_high+revenue_high+yearsjoined_low+goodreview_low, mediumreview_low+badreview_medium+latent4_high+latent2_medium+revenue_medium+goodreview_low+rating_high, mediumreview_low+latent4_high+revenue_high+followers_medium+latent2_medium+goodreview_low+yearsjoined_medium, rating_high+revenue_low+latent3_low, mediumreview_low+latent4_high+latent1_medium+goodreview_low+latent3_medium, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+latent1_medium+rating_medium, goodreview_low+yearsjoined_low+latent2_medium+latent3_medium, yearsjoined_low+latent2_medium+rating_medium+latent3_medium, revenue_high+latent2_medium+rating_medium+latent3_medium, mediumreview_low+badreview_high+goodreview_low+yearsjoined_low, badreview_medium+revenue_high+followers_medium+latent2_medium+goodreview_low+rating_medium, followers_medium+latent2_medium+latent1_medium+goodreview_low+rating_medium, badreview_medium+revenue_high+yearsjoined_low+followers_medium+goodreview_low+rating_medium, yearsjoined_medium+latent1_medium+followers_medium, mediumreview_low+badreview_medium+yearsjoined_low+goodreview_low+rating_medium, yearsjoined_low+followers_medium+latent1_medium+rating_medium, mediumreview_low+latent1_medium+goodreview_low+rating_medium+latent3_medium, mediumreview_low+latent1_medium+revenue_medium+goodreview_low+rating_high+yearsjoined_medium, mediumreview_low+badreview_medium+latent3_low+revenue_medium+rating_high+yearsjoined_medium, goodreview_low+followers_medium+rating_medium+latent3_medium, mediumreview_low+followers_medium+latent2_medium+goodreview_low+latent3_medium, goodreview_low+yearsjoined_low+latent1_medium+latent3_medium, revenue_high+latent1_medium+latent2_medium+goodreview_low+rating_medium, mediumreview_low+badreview_medium+latent4_high+followers_medium+revenue_medium+goodreview_low, mediumreview_low+revenue_high+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high+yearsjoined_medium, badreview_medium+yearsjoined_medium+latent1_medium, badreview_low+latent2_medium, badreview_low+followers_low, mediumreview_low+revenue_high+yearsjoined_low+goodreview_low+rating_medium+latent3_medium, revenue_high+yearsjoined_low+latent2_medium+latent1_medium+rating_medium, revenue_high+yearsjoined_low+followers_medium+latent2_medium+goodreview_low+latent1_high, mediumreview_low+badreview_medium+latent4_high+followers_medium+latent2_medium+latent3_low+goodreview_low+rating_high+yearsjoined_medium+latent1_high, mediumreview_low+badreview_medium+latent2_medium+latent3_low+revenue_medium+rating_high, yearsjoined_low+latent2_high+latent3_high, badreview_high+followers_medium+latent1_medium, badreview_high+yearsjoined_low+rating_medium, revenue_high+goodreview_low+latent2_medium+latent3_medium, yearsjoined_low+followers_medium+latent3_medium, followers_low+latent3_low+latent2_medium+latent1_medium+rating_high, revenue_high+yearsjoined_low+latent4_medium+latent1_medium+mediumreview_medium, badreview_medium+revenue_high+yearsjoined_low+latent2_medium+rating_medium, mediumreview_low+badreview_medium+latent4_high+yearsjoined_low+followers_medium+latent1_medium+goodreview_low+rating_high, mediumreview_low+badreview_high+revenue_high, mediumreview_low+latent4_high+revenue_high+followers_medium+latent3_low+goodreview_low+yearsjoined_medium, latent4_high+mediumreview_low+followers_medium+revenue_medium+yearsjoined_medium, mediumreview_low+revenue_high+followers_medium+latent2_medium+goodreview_low+yearsjoined_medium+latent1_high, mediumreview_low+revenue_high+followers_medium+latent3_low+goodreview_low+yearsjoined_medium+latent1_high, mediumreview_low+latent1_medium+latent2_medium+goodreview_low+latent3_medium, revenue_high+yearsjoined_low+latent4_medium+mediumreview_medium+latent2_high, mediumreview_low+followers_medium+latent2_medium+latent1_medium+revenue_medium, revenue_high+followers_medium+latent3_low+rating_high+yearsjoined_medium+latent1_high, revenue_high+latent2_medium+latent3_low+rating_high+yearsjoined_medium+latent1_high, mediumreview_low+latent4_high+revenue_high+yearsjoined_low+latent2_medium+goodreview_low+latent1_high, mediumreview_low+revenue_high+latent2_medium+latent3_low+goodreview_low+yearsjoined_medium+latent1_high, mediumreview_low+latent4_high+followers_medium+latent2_medium+revenue_medium+goodreview_low+rating_high, mediumreview_low+followers_medium+latent1_medium+goodreview_low+rating_medium, mediumreview_low+latent4_high+revenue_high+rating_medium+latent3_medium, goodreview_medium+latent3_low, rating_high+goodreview_medium, revenue_high+yearsjoined_low+latent1_medium+badreview_high+latent2_high, revenue_high+yearsjoined_low+latent4_medium+latent1_medium+latent2_high, revenue_medium+badreview_low+latent3_low, revenue_medium+rating_high+badreview_low, mediumreview_low+latent4_high+yearsjoined_low+rating_medium+latent3_medium, mediumreview_low+latent4_high+latent2_medium+goodreview_low+rating_medium+latent3_medium, mediumreview_low+yearsjoined_low+latent1_medium+latent2_medium+goodreview_low+rating_medium, badreview_medium+yearsjoined_low+followers_medium+latent2_medium+goodreview_low+rating_medium, goodreview_medium+yearsjoined_low, mediumreview_low+badreview_medium+revenue_high+latent2_medium+goodreview_low+rating_medium, revenue_high+yearsjoined_low+badreview_high+latent2_high+followers_high, badreview_medium+latent3_medium, badreview_medium+revenue_high+yearsjoined_low+latent1_high, mediumreview_low+latent4_high+latent1_medium+latent2_medium+badreview_high+goodreview_low, mediumreview_low+badreview_medium+latent2_medium+latent3_low+revenue_medium+goodreview_low, badreview_medium+revenue_medium+followers_medium+latent1_medium, revenue_high+followers_medium+latent2_medium+latent3_low+goodreview_low+yearsjoined_medium+latent1_high, mediumreview_low+revenue_high+latent3_low+goodreview_low+rating_high+yearsjoined_medium+latent1_high, latent4_high+badreview_high+goodreview_low+yearsjoined_low, mediumreview_low+latent4_high+revenue_high+latent2_medium+latent3_low+goodreview_low+yearsjoined_medium, mediumreview_low+latent4_high+latent1_medium+revenue_medium+rating_high+yearsjoined_medium, mediumreview_low+latent4_high+revenue_high+latent3_low+goodreview_low+rating_high+yearsjoined_medium",cao
19,1,uniform,5,1.0,0.4068583846092224,0,,
20,1,uniform,5,0.95,0.4068583846092224,0,,
21,1,uniform,5,0.9,0.4068583846092224,0,,
22,1,uniform,5,0.85,0.4068583846092224,0,,
23,1,uniform,5,0.8,0.4068583846092224,0,,
24,1,uniform,5,0.75,0.4068583846092224,0,,
25,1,uniform,5,0.7,0.4068583846092224,0,,
26,1,uniform,5,0.65,0.4068583846092224,0,,
27,1,uniform,5,0.6,0.4068583846092224,0,,
28,1,uniform,5,0.55,0.319415420293808,1,yearsjoined_low,huang
29,1,uniform,5,0.5,0.3056470453739166,4,"yearsjoined_low, revenue_high, mediumreview_verylow, latent1_high",huang
30,1,uniform,5,0.45,0.327706515789032,7,"yearsjoined_low, revenue_high, mediumreview_verylow, latent1_high, latent3_verylow, latent2_medium, goodreview_verylow",huang
31,1,uniform,5,0.4,0.29506585001945496,7,"latent1_high, latent3_verylow, latent2_medium, followers_medium, revenue_high+yearsjoined_low, mediumreview_verylow+goodreview_verylow, rating_high",huang
32,1,uniform,5,0.35,0.3238086998462677,12,"latent1_high, latent3_verylow, latent2_medium, followers_medium, revenue_high+yearsjoined_low, mediumreview_verylow+goodreview_verylow, rating_high, mediumreview_verylow+yearsjoined_low, latent4_high, revenue_high+goodreview_verylow, mediumreview_verylow+revenue_high, yearsjoined_low+goodreview_verylow",cao
33,1,uniform,5,0.3,0.231192946434021,26,"latent4_high, followers_medium+mediumreview_verylow, mediumreview_verylow+latent3_verylow, badreview_medium, mediumreview_verylow+latent4_veryhigh, followers_medium+revenue_high, rating_veryhigh, yearsjoined_low+latent2_medium, badreview_high, rating_high+latent2_medium, followers_medium+goodreview_verylow, mediumreview_verylow+latent2_medium, latent1_medium, goodreview_low, mediumreview_verylow+revenue_high+goodreview_verylow, latent1_high+yearsjoined_low, followers_medium+yearsjoined_low, revenue_high+latent2_medium, mediumreview_verylow+yearsjoined_low+goodreview_verylow, mediumreview_verylow+rating_high, followers_medium+latent2_medium, rating_high+revenue_high, mediumreview_verylow+revenue_high+yearsjoined_low, revenue_high+latent1_high, mediumreview_verylow+latent1_high, latent3_verylow+goodreview_verylow",huang
34,1,uniform,5,0.25,0.1752031445503235,46,"latent4_high, badreview_high, latent1_medium, goodreview_low, mediumreview_verylow+latent4_veryhigh+goodreview_verylow, mediumreview_verylow+latent3_verylow+goodreview_verylow, mediumreview_verylow+latent4_veryhigh+yearsjoined_low, mediumreview_verylow+yearsjoined_low+latent2_medium, followers_medium+revenue_high+yearsjoined_low, mediumreview_verylow+rating_high+latent2_medium, followers_medium+mediumreview_verylow+yearsjoined_low, followers_medium+latent1_high, revenue_high+yearsjoined_low+latent2_medium, mediumreview_low, followers_medium+latent3_verylow, latent3_low, badreview_medium+goodreview_verylow, rating_high+yearsjoined_low+latent2_medium, followers_medium+mediumreview_verylow+latent2_medium, mediumreview_verylow+latent2_medium+goodreview_verylow, mediumreview_verylow+revenue_high+rating_high, followers_medium+revenue_high+latent2_medium, followers_medium+yearsjoined_low+goodreview_verylow, mediumreview_verylow+revenue_high+latent2_medium, followers_medium+latent2_medium+goodreview_verylow, rating_veryhigh+latent3_verylow, followers_medium+yearsjoined_low+latent2_medium, mediumreview_verylow+revenue_high+yearsjoined_low+goodreview_verylow, latent2_low, rating_high+revenue_high+latent2_medium, mediumreview_verylow+badreview_medium, followers_medium+mediumreview_verylow+revenue_high+goodreview_verylow, mediumreview_verylow+rating_high+goodreview_verylow, mediumreview_verylow+latent1_high+goodreview_verylow, mediumreview_verylow+latent3_verylow+yearsjoined_low, rating_high+latent1_high, mediumreview_verylow+rating_high+yearsjoined_low, revenue_high+latent1_high+goodreview_verylow, mediumreview_verylow+revenue_high+latent3_verylow, followers_medium+rating_high+mediumreview_verylow, latent1_high+latent2_medium, followers_medium+rating_high+latent2_medium, followers_medium+latent4_veryhigh+mediumreview_verylow, revenue_high+latent1_high+yearsjoined_low, revenue_high+latent4_veryhigh, latent2_medium+yearsjoined_low+goodreview_verylow",huang
