orig_index,h_0,h_1,h_2,h_3,h_4,cluster
75,0.023381904,-0.16918528,-0.27201107,0.0978208,0.1610523,0
76,0.011900336,-0.15684831,-0.24548864,0.091134995,0.15071559,3
77,-0.24254727,-0.28964955,-0.20702714,-0.032943636,0.15342034,4
78,-0.15545012,-0.2347449,-0.22711071,-0.010697443,0.13143112,4
79,0.069100946,-0.1769809,-0.41297308,0.13342145,0.18668704,0
80,-0.27999234,-0.30510563,-0.27821827,-0.062342156,0.13388354,4
81,0.00676395,-0.178248,-0.1927563,0.05103007,0.14305875,3
82,-0.2491523,-0.25119638,-0.22775742,-0.03264218,0.13400856,4
83,-0.011802085,-0.15704179,-0.18059492,0.0694689,0.11809915,3
84,0.042037547,-0.1743582,-0.3351692,0.096070096,0.16637228,0
85,0.074584946,-0.11177498,-0.40041685,0.107166976,0.17043842,0
86,0.057132326,-0.14801008,-0.4104771,0.17518908,0.09859693,0
87,0.08661993,-0.11668416,-0.40602556,0.1125904,0.18955073,0
88,-0.2778586,-0.26828945,-0.22206289,-0.022975244,0.14157273,4
89,0.060696468,-0.109481886,-0.41667676,0.15764819,0.19029616,0
90,-0.04486999,-0.18772875,-0.17688206,0.054775655,0.13232797,3
91,-0.23447925,-0.3077148,-0.20529436,-0.025506556,0.1500208,4
92,-0.21327491,-0.23915271,-0.31472322,-0.12160367,0.24951082,4
93,-0.025663346,-0.17781274,-0.15044756,0.040552348,0.14965424,3
94,-0.3044481,-0.2988232,-0.2507963,-0.07722767,0.13598287,4
95,-0.061529227,-0.20860383,-0.19001183,0.0208192,0.11311095,3
96,-0.485362,-0.33357623,-0.27315912,-0.15275094,0.034765184,1
97,0.0040607303,-0.19075598,-0.15839873,0.089045845,0.1474727,3
98,-0.028881758,-0.2253764,-0.14443725,0.066933386,0.15355368,3
99,-0.041442603,-0.1755233,-0.1484254,0.06325258,0.13498393,3
100,-0.15963656,-0.19109464,-0.2062874,-0.005707342,0.12162183,4
101,-0.60036445,-0.42034099,-0.28598693,-0.1914049,-0.061547324,1
102,-0.28616488,-0.3150819,-0.25467178,-0.090462275,0.15516603,4
103,-0.11915969,-0.22946274,-0.17032519,-8.016825e-06,0.14533716,3
104,0.07395053,-0.15963447,-0.40314418,0.10945615,0.17612997,0
105,-0.53002906,-0.4000705,-0.23217312,-0.20389223,-0.052485317,1
106,-0.018224776,-0.18633643,-0.18674546,0.076565966,0.15148365,3
107,-0.02401936,-0.17906265,-0.11972925,0.060764402,0.14807206,3
108,-0.19629613,-0.2286312,-0.2329342,-0.05203191,0.12747817,4
109,0.09028752,-0.12103897,-0.36019477,0.1503553,0.18487173,0
110,-0.28271997,-0.37164563,-0.25222212,-0.048469782,0.15863147,4
111,-0.18661559,-0.2633381,-0.20202519,-0.029785022,0.12418747,4
112,-0.30831376,-0.3175639,-0.25601974,-0.09231875,0.13536103,4
113,-0.2342312,-0.30526555,-0.27566263,-0.09797154,0.16125605,4
114,-0.029004246,-0.21482185,-0.18553631,0.07027757,0.13327147,3
115,0.015421078,-0.20752418,-0.21897036,0.079819694,0.1474787,3
116,-0.023301393,-0.2172133,-0.150383,0.079677016,0.13881631,3
117,-0.17232874,-0.24869916,-0.20711616,-0.04022564,0.15223114,4
118,-0.04392582,-0.16065179,-0.12852892,0.06716918,0.13284591,3
119,0.079651326,-0.16349527,-0.4019094,0.116392985,0.18963848,0
120,-0.03735885,-0.23563695,-0.18669555,0.051629737,0.14639398,3
121,-0.08375773,-0.22799256,-0.1859473,0.06356695,0.13946493,3
122,-0.103292346,-0.20476413,-0.17901883,0.013130058,0.113104634,3
123,-0.31050062,-0.2954458,-0.23821115,-0.076354265,0.12648031,4
124,0.015038386,-0.18535322,-0.19028345,0.07354939,0.14262551,3
125,-0.02391419,-0.2386396,-0.19241065,0.0695956,0.13304107,3
126,0.0073747784,-0.18548375,-0.20211497,0.08093636,0.14126754,3
127,-0.89884627,-0.4452366,-0.38421503,-0.35412738,-0.195086,2
128,-0.047716767,-0.17660484,-0.14155594,0.06691322,0.12899446,3
