job_index,group_index,strategy,n_bins,min_support,silhouette_score,n_itemsets,selected_features,init,final_score,best_observed_score
76,4,quantile,5,1.0,0.4068583846092224,0,,,0.4068583846092224,-inf
77,4,quantile,5,0.95,0.4068583846092224,0,,,0.4068583846092224,-inf
78,4,quantile,5,0.9,0.4068583846092224,0,,,0.4068583846092224,-inf
79,4,quantile,5,0.85,0.4068583846092224,0,,,0.4068583846092224,-inf
80,4,quantile,5,0.8,0.4068583846092224,0,,,0.4068583846092224,-inf
81,4,quantile,5,0.75,0.4068583846092224,0,,,0.4068583846092224,-inf
82,4,quantile,5,0.7,0.4068583846092224,0,,,0.4068583846092224,-inf
83,4,quantile,5,0.65,0.4068583846092224,0,,,0.4068583846092224,-inf
84,4,quantile,5,0.6,0.4068583846092224,0,,,0.4068583846092224,-inf
85,4,quantile,5,0.55,0.4068583846092224,0,,,0.4068583846092224,-inf
86,4,quantile,5,0.5,0.4068583846092224,0,,,0.4068583846092224,-inf
87,4,quantile,5,0.45,0.4068583846092224,0,,,0.4068583846092224,-inf
88,4,quantile,5,0.4,0.4068583846092224,0,,,0.4068583846092224,-inf
89,4,quantile,5,0.35,0.4068583846092224,0,,,0.4068583846092224,-inf
90,4,quantile,5,0.3,0.4068583846092224,0,,,0.4068583846092224,-inf
91,4,quantile,5,0.25,0.4068583846092224,0,,,0.4068583846092224,-inf
92,4,quantile,5,0.2,0.3868586122989654,42,,,0.4068583846092224,0.3868586122989654
93,4,quantile,5,0.15,0.3892172276973724,49,,,0.4068583846092224,0.3892172276973724
94,4,quantile,5,0.1,0.3696117401123047,53,,,0.4068583846092224,0.3696117401123047
95,5,quantile,7,1.0,0.4068583846092224,0,,,0.4068583846092224,-inf
96,5,quantile,7,0.95,0.4068583846092224,0,,,0.4068583846092224,-inf
97,5,quantile,7,0.9,0.4068583846092224,0,,,0.4068583846092224,-inf
98,5,quantile,7,0.85,0.4068583846092224,0,,,0.4068583846092224,-inf
99,5,quantile,7,0.8,0.4068583846092224,0,,,0.4068583846092224,-inf
100,5,quantile,7,0.75,0.4068583846092224,0,,,0.4068583846092224,-inf
101,5,quantile,7,0.7,0.4068583846092224,0,,,0.4068583846092224,-inf
102,5,quantile,7,0.65,0.4068583846092224,0,,,0.4068583846092224,-inf
103,5,quantile,7,0.6,0.4068583846092224,0,,,0.4068583846092224,-inf
104,5,quantile,7,0.55,0.4068583846092224,0,,,0.4068583846092224,-inf
105,5,quantile,7,0.5,0.4068583846092224,0,,,0.4068583846092224,-inf
106,5,quantile,7,0.45,0.4068583846092224,0,,,0.4068583846092224,-inf
107,5,quantile,7,0.4,0.4068583846092224,0,,,0.4068583846092224,-inf
108,5,quantile,7,0.35,0.4068583846092224,0,,,0.4068583846092224,-inf
109,5,quantile,7,0.3,0.4068583846092224,0,,,0.4068583846092224,-inf
