job_index,strategy,n_bins,min_support,selection_step,candidate_feature,candidate_features,trial_index,stage,silhouette_score,view_weighted_score,n_selected_features,selected_features,cluster_sizes,alpha,mu_param,gamma,beta,status,error_message,is_best
6,uniform,3,0.7,,,,26,coarse,0.5108786821365356,0.6674132347106934,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 214, 933, 178, 305]",0.2,0.8,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,27,coarse,0.5108786821365356,0.6674132347106934,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 214, 933, 178, 305]",0.2,0.8,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,28,coarse,0.5106881260871887,0.6687606573104858,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 218, 936, 177, 301]",0.2,0.8,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,29,coarse,0.5111462473869324,0.6683491468429565,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 215, 935, 176, 304]",0.2,0.8,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,30,coarse,0.5111421942710876,0.6684433221817017,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 215, 934, 177, 304]",0.2,0.8,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,31,coarse,0.5110889673233032,0.6676483154296875,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 214, 934, 177, 305]",0.2,0.8,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,32,coarse,0.5070541501045227,0.665403425693512,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[175, 218, 924, 180, 302]",0.2,0.8,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,33,coarse,0.5115418434143066,0.6709887385368347,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[171, 216, 935, 174, 303]",0.2,0.8,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,34,coarse,0.5111421942710876,0.6684433221817017,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 215, 934, 177, 304]",0.2,0.8,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,35,coarse,0.5111421942710876,0.6684433221817017,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 215, 934, 177, 304]",0.2,0.8,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,36,coarse,0.4761416018009186,0.5301675200462341,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[156, 130, 1202, 163, 148]",0.5,0.2,0.2,2.0,ok,,False
6,uniform,3,0.7,,,,37,coarse,0.47427359223365784,0.5295330882072449,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 142, 1196, 161, 143]",0.5,0.2,0.2,3.0,ok,,False
6,uniform,3,0.7,,,,38,coarse,0.47331899404525757,0.5283279418945312,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[156, 147, 1195, 159, 142]",0.5,0.2,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,39,coarse,0.47331899404525757,0.5283279418945312,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[156, 147, 1195, 159, 142]",0.5,0.2,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,40,coarse,0.476337730884552,0.5310846567153931,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[159, 128, 1200, 162, 150]",0.5,0.2,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,41,coarse,0.47380298376083374,0.5296189785003662,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 148, 1195, 162, 137]",0.5,0.2,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,42,coarse,0.4741448760032654,0.530191957950592,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 147, 1196, 160, 139]",0.5,0.2,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,43,coarse,0.47320905327796936,0.5290288925170898,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 147, 1198, 158, 139]",0.5,0.2,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,44,coarse,0.46890634298324585,0.5237652659416199,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 131, 1215, 161, 131]",0.5,0.2,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,45,coarse,0.47320711612701416,0.5292750000953674,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 146, 1199, 162, 134]",0.5,0.2,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,46,coarse,0.474324494600296,0.5307636857032776,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 147, 1196, 159, 139]",0.5,0.2,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,47,coarse,0.47383683919906616,0.5301716327667236,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 147, 1197, 158, 139]",0.5,0.2,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,48,coarse,0.47864672541618347,0.5283220410346985,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[156, 186, 1003, 187, 267]",0.5,0.5,0.2,2.0,ok,,False
6,uniform,3,0.7,,,,49,coarse,0.48089104890823364,0.5305198431015015,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 184, 1005, 184, 269]",0.5,0.5,0.2,3.0,ok,,False
6,uniform,3,0.7,,,,50,coarse,0.48345649242401123,0.5343140363693237,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 184, 999, 183, 275]",0.5,0.5,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,51,coarse,0.48313960433006287,0.5340099334716797,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 185, 1000, 183, 273]",0.5,0.5,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,52,coarse,0.4771740734577179,0.5298965573310852,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 196, 985, 193, 268]",0.5,0.5,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,53,coarse,0.4862450063228607,0.5402976274490356,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[157, 191, 994, 183, 274]",0.5,0.5,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,54,coarse,0.48511454463005066,0.5365358591079712,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 184, 996, 182, 279]",0.5,0.5,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,55,coarse,0.4829072654247284,0.5329932570457458,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 184, 1003, 182, 272]",0.5,0.5,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,56,coarse,0.4695931673049927,0.5204645991325378,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[162, 196, 997, 193, 251]",0.5,0.5,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,57,coarse,0.48486992716789246,0.5386667251586914,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[159, 191, 997, 182, 270]",0.5,0.5,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,58,coarse,0.48914670944213867,0.5468810796737671,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 199, 990, 182, 270]",0.5,0.5,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,59,coarse,0.48964250087738037,0.5475358366966248,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 199, 989, 182, 271]",0.5,0.5,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,60,coarse,0.4618135392665863,0.5066941976547241,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 206, 870, 235, 323]",0.5,0.8,0.2,2.0,ok,,False
6,uniform,3,0.7,,,,61,coarse,0.4744773209095001,0.5267087817192078,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 204, 885, 226, 319]",0.5,0.8,0.2,3.0,ok,,False
6,uniform,3,0.7,,,,62,coarse,0.4789244532585144,0.5336515307426453,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 204, 891, 223, 316]",0.5,0.8,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,63,coarse,0.48231616616249084,0.5387713313102722,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 204, 903, 210, 318]",0.5,0.8,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,64,coarse,0.4563799202442169,0.5009578466415405,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 207, 853, 235, 337]",0.5,0.8,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,65,coarse,0.4753356873989105,0.5280246138572693,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 203, 884, 228, 319]",0.5,0.8,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,66,coarse,0.477763295173645,0.5321759581565857,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 204, 886, 225, 318]",0.5,0.8,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,67,coarse,0.4789644777774811,0.5338646769523621,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 204, 889, 225, 316]",0.5,0.8,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,68,coarse,0.45317935943603516,0.4994190037250519,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[168, 213, 839, 246, 333]",0.5,0.8,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,69,coarse,0.47269728779792786,0.5241590142250061,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 205, 876, 230, 322]",0.5,0.8,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,70,coarse,0.4779837727546692,0.5326634645462036,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[167, 205, 883, 226, 318]",0.5,0.8,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,71,coarse,0.478143572807312,0.5328108668327332,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[166, 204, 885, 227, 317]",0.5,0.8,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,72,coarse,0.4215008616447449,0.41319361329078674,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[158, 201, 856, 231, 353]",0.8,0.2,0.2,2.0,ok,,False
6,uniform,3,0.7,,,,73,coarse,0.43612954020500183,0.4257774353027344,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[159, 201, 873, 219, 347]",0.8,0.2,0.2,3.0,ok,,False
6,uniform,3,0.7,,,,74,coarse,0.44152432680130005,0.43021053075790405,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 201, 879, 213, 345]",0.8,0.2,0.2,4.0,ok,,False
6,uniform,3,0.7,,,,75,coarse,0.4418744444847107,0.4305202066898346,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 198, 883, 212, 345]",0.8,0.2,0.2,5.0,ok,,False
6,uniform,3,0.7,,,,76,coarse,0.41102996468544006,0.40392571687698364,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 202, 826, 248, 358]",0.8,0.2,0.5,2.0,ok,,False
6,uniform,3,0.7,,,,77,coarse,0.431464284658432,0.4215698540210724,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 199, 863, 231, 345]",0.8,0.2,0.5,3.0,ok,,False
6,uniform,3,0.7,,,,78,coarse,0.43675148487091064,0.4260655343532562,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 199, 873, 223, 343]",0.8,0.2,0.5,4.0,ok,,False
6,uniform,3,0.7,,,,79,coarse,0.4397209882736206,0.42873597145080566,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 199, 873, 220, 346]",0.8,0.2,0.5,5.0,ok,,False
6,uniform,3,0.7,,,,80,coarse,0.3983239233493805,0.3922465443611145,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[165, 206, 821, 248, 359]",0.8,0.2,0.8,2.0,ok,,False
6,uniform,3,0.7,,,,81,coarse,0.4244411289691925,0.41573020815849304,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[164, 202, 840, 240, 353]",0.8,0.2,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,82,coarse,0.4330781102180481,0.4230521023273468,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 199, 862, 235, 342]",0.8,0.2,0.8,4.0,ok,,False
6,uniform,3,0.7,,,,83,coarse,0.43859347701072693,0.427682101726532,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[161, 199, 872, 223, 344]",0.8,0.2,0.8,5.0,ok,,False
6,uniform,3,0.7,,,,84,coarse,0.4100267291069031,0.4041709303855896,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[160, 202, 817, 254, 366]",0.8,0.5,0.2,2.0,ok,,False
